,id,adult_males,subadult_males,adult_females,juveniles,pups,r_mean,g_mean,b_mean,r_std,g_std,b_std,r_max,g_max,b_max,r_min,g_min,b_min,r_kurtosis,g_kurtosis,b_kurtosis,r_skewness,g_skewness,b_skewness
0,0,62,12,486,42,344,109.414344508,109.994345065,109.48860302,59.6590169637,53.2073650906,48.9698548661,255,255,255,2,4,3,-0.833962312376,-0.61945458577,-0.341425652928,0.188395704571,0.370363405943,0.521526076928
1,1,2,20,0,12,0,115.251405717,117.063402406,113.010875184,44.619252271,42.0938893351,42.1952463573,255,255,255,7,17,6,0.484819554345,1.08458843168,1.98483282701,0.962409571999,1.04866475416,1.13267548543
2,2,2,0,38,20,0,120.185343141,124.907917444,125.02222356,29.8628519765,27.0296970614,26.2528422951,255,255,255,27,26,28,3.81435407267,4.49204961576,4.62388212345,1.69907089935,1.70582528216,1.73115067614
3,3,8,5,41,7,38,130.73079811,139.666312928,128.08280988,35.5935169967,32.4109060341,32.4751055864,255,255,255,32,40,35,0.376746114588,0.187340778756,1.07089356475,0.973058367369,0.679659276982,0.854023367557
4,4,6,9,2,0,0,84.3459181619,90.5433673309,90.0861219946,44.4438076767,39.7614958472,36.4533680501,255,255,255,13,15,18,0.107708105855,0.298692653756,1.44185363799,1.02214349847,0.997497187938,1.30446674645
5,5,6,4,14,4,19,130.397333365,135.73394872,137.907039875,31.1618581351,28.8689748773,26.9390929596,255,255,255,79,85,88,-0.794715249628,-0.88793339302,-0.722613169669,0.663825379124,0.519030294832,0.57100891568
6,6,2,5,20,18,0,79.6597247748,94.1229169182,79.6797634519,59.116494597,51.8507908294,50.2498961306,255,255,255,1,2,1,-0.124116106436,0.0761005982846,1.75736857784,0.849751160792,0.805859557235,1.44968187623
7,7,6,2,33,16,3,106.752495042,111.734874849,99.5858155722,32.7704786767,27.8977471961,33.9656326599,255,255,255,16,11,1,1.62714510805,2.08634525209,0.491533962703,1.27928736129,0.910136312296,0.110389067372
8,8,9,5,76,4,51,114.287479384,122.382428363,119.802955459,35.5048504086,31.6921290419,35.0239556645,255,255,255,3,10,2,2.12714818492,3.45123469029,2.37312936984,0.901575513174,1.0339933191,0.639252338701
9,9,4,1,64,36,11,135.369466987,139.901099972,141.68734692,31.2773537327,28.0366974589,27.2074233977,255,255,255,54,57,50,4.07525190493,5.62717755265,5.9225286579,1.98199877068,2.13985442452,1.76887627257
10,10,5,4,7,5,0,57.5760717375,75.0022586145,78.1353296467,63.494461976,54.0065774989,49.0990000319,255,255,255,1,6,6,0.405092455803,1.00013612158,2.26066349288,1.26934915977,1.42030042016,1.75663214479
11,11,3,7,36,13,0,133.599590975,147.765195608,120.573040843,35.4175277413,36.0730508095,51.0182523655,255,255,255,5,18,1,1.96338673283,0.937192220975,-0.890900277708,0.215750267375,-0.579866672159,-0.0193669652519
12,12,8,9,13,1,7,158.344429723,161.985543328,144.09561095,37.2934294893,38.6011720218,43.245462978,255,255,255,29,27,22,0.177374740502,0.101408928691,0.0809454812677,0.650386128182,0.201444339961,0.646844212725
13,13,2,5,20,13,0,80.6463321602,95.3667734554,105.579182069,45.8528844674,42.9525610692,42.2502391926,255,255,255,9,15,10,3.48852956114,3.26284104736,2.79156059703,1.94795080225,1.81366128725,1.61768606599
14,14,1,1,0,27,0,119.939535167,119.992239158,119.866208208,13.2892948676,12.9889669057,12.6125682071,255,255,255,53,30,12,40.6981053272,45.3462794396,47.3543186785,5.16157990549,5.45664710999,5.43648040329
15,15,2,3,35,61,0,98.4757746632,106.684396988,110.893783214,38.1056649112,33.9765827595,30.8208748755,255,255,255,38,38,40,4.29899818761,5.06296357555,6.23487215626,2.23318711373,2.31374472453,2.40530917498
16,16,1,1,32,35,0,80.4342378902,90.3145739933,98.0417136757,43.0517544924,41.3036012861,40.8815531891,255,255,255,6,16,14,4.82616432363,4.82048860543,4.31484920441,2.31277943901,2.25064510717,1.99294671344
17,17,4,4,60,18,0,133.246656112,137.273396553,136.253037536,32.6697735286,30.9928471895,30.469927778,255,255,255,13,16,14,2.44953270083,2.31665913157,2.43330112436,1.06852425328,0.238664153658,-0.552491488122
18,18,2,4,0,0,0,91.8846205735,114.250285983,122.182017095,39.3539840645,33.8340497683,31.505697185,255,255,255,15,25,25,5.19099100693,4.76346175964,4.8585003865,2.20243693286,1.72496711035,1.55501109934
19,19,7,3,34,24,1,125.425475724,129.249098251,126.338757396,44.2699252513,40.8228880557,36.2624527477,255,255,255,5,14,16,-0.837690300789,-0.636660844963,-0.170823020034,0.0398670571586,-0.0226594920722,0.0308826474996
20,20,7,21,31,4,1,116.344125628,125.663297172,126.3194994,35.5097503174,26.3485161304,22.1663351546,255,255,255,37,45,41,0.932176286119,2.31912208294,5.41471684475,1.34822153134,1.20466097948,1.31619341048
21,21,6,1,25,9,0,138.2743891,142.137125442,140.072828308,38.871631147,36.4369332501,37.0754714891,255,255,255,30,34,34,0.110563355312,0.494581157271,0.72428301183,0.854871296694,0.810561626265,0.653358880963
22,22,1,1,0,5,0,98.8000306637,105.667112653,108.732348683,51.3086299079,46.9569323076,43.5726694382,255,255,255,15,19,23,-0.181929241081,0.122744214195,0.489668347073,0.820187343974,0.901473536504,0.974433965863
23,23,1,0,1,6,0,102.266523482,111.151808402,115.113670302,37.045002167,33.1036035601,30.5988500491,255,255,255,48,54,46,5.4797156138,6.01652431632,6.96456045148,2.48329562987,2.56022165919,2.7187697788
24,24,4,2,0,0,0,97.7279405758,101.1034732,101.866177358,42.1805044719,38.9086485104,37.5254041333,255,255,255,11,13,2,-0.339628130664,0.147631382548,0.536937256081,0.863203146724,0.787492376949,0.645748878777
25,25,1,2,0,0,0,124.873268653,128.931041948,118.279958912,45.9443203715,41.3866992437,44.4782225191,255,255,255,11,15,1,0.623482162344,1.01209873423,0.999687085841,1.04980442307,0.898666641357,0.819478642585
