id,height,width,all_diff,total_act,adult_males_dots,subadult_males_dots,adult_females_dots,juveniles_dots,pups_dots,                 adult_males_act,subadult_males_act,adult_females_act,juveniles_act,pups_act
0,3744,5616,0,946,62,12,486,42,344,62,12,486,42,344
1,3744,5616,0,34,2,20,0,12,0,2,20,0,12,0
2,3328,4992,2,58,2,0,38,20,0,2,0,37,19,0
4,3744,5616,0,17,6,9,2,0,0,6,9,2,0,0
5,3328,4992,0,47,6,4,14,4,19,6,4,14,4,19
6,3328,4992,0,45,2,5,20,18,0,2,5,20,18,0
8,3328,4992,0,145,9,5,76,4,51,9,5,76,4,51
10,3328,4992,0,21,5,4,7,5,0,5,4,7,5,0
11,3744,5616,2,57,3,7,36,13,0,3,5,36,13,0
12,3744,5616,0,38,8,9,13,1,7,8,9,13,1,7
13,3328,4992,1,39,2,5,20,13,0,1,5,20,13,0
14,3744,5616,0,29,1,1,0,27,0,1,1,0,27,0
15,3328,4992,7,94,2,3,35,61,0,2,3,33,56,0
16,3328,4992,0,69,1,1,32,35,0,1,1,32,35,0
17,3328,4992,0,86,4,4,60,18,0,4,4,60,18,0
18,3744,5616,1,5,2,4,0,0,0,2,3,0,0,0
19,3328,4992,0,69,7,3,34,24,1,7,3,34,24,1
20,3328,4992,0,64,7,21,31,4,1,7,21,31,4,1
22,3328,4992,0,7,1,1,0,5,0,1,1,0,5,0
23,3328,4992,0,8,1,0,1,6,0,1,0,1,6,0
24,3744,5616,0,6,4,2,0,0,0,4,2,0,0,0
25,3744,5616,0,3,1,2,0,0,0,1,2,0,0,0
26,3744,5616,0,12,0,8,0,4,0,0,8,0,4,0
27,3744,5616,0,13,1,4,0,8,0,1,4,0,8,0
28,3328,4992,0,2,2,0,0,0,0,2,0,0,0,0
29,3328,4992,0,67,4,4,44,15,0,4,4,44,15,0
31,3744,5616,0,102,3,2,20,76,1,3,2,20,76,1
32,3328,4992,0,312,18,6,159,18,111,18,6,159,18,111
33,3744,5616,0,27,0,1,18,8,0,0,1,18,8,0
35,3328,4992,0,5,4,1,0,0,0,4,1,0,0,0
36,3744,5616,3,25,9,19,0,0,0,8,17,0,0,0
37,3328,4992,0,8,1,2,5,0,0,1,2,5,0,0
38,3328,4992,5,36,3,0,36,2,0,3,0,33,0,0
39,3328,4992,0,111,10,14,62,10,15,10,14,62,10,15
40,3328,4992,2,73,2,2,63,8,0,2,2,62,7,0
41,3328,4992,0,177,15,0,85,18,59,15,0,85,18,59
42,3328,4992,0,22,7,4,10,1,0,7,4,10,1,0
43,3744,5616,0,606,28,4,338,47,189,28,4,338,47,189
44,3328,4992,0,45,3,2,25,15,0,3,2,25,15,0
45,3328,4992,0,138,4,7,100,27,0,4,7,100,27,0
46,3744,5616,0,5,1,4,0,0,0,1,4,0,0,0
47,3744,5616,2,111,13,16,48,3,33,13,14,48,3,33
48,3328,4992,0,105,5,10,66,24,0,5,10,66,24,0
49,3328,4992,0,19,0,0,4,15,0,0,0,4,15,0
50,3328,4992,0,1,1,0,0,0,0,1,0,0,0,0
51,3328,4992,0,67,9,13,10,35,0,9,13,10,35,0
52,3744,5616,1,48,3,3,20,23,0,2,3,20,23,0
53,3744,5616,0,24,2,1,15,6,0,2,1,15,6,0
54,3328,4992,0,55,2,5,22,26,0,2,5,22,26,0
55,3744,5616,0,141,6,2,59,74,0,6,2,59,74,0
56,3744,5616,0,201,9,3,91,5,93,9,3,91,5,93
57,3328,4992,0,3,2,1,0,0,0,2,1,0,0,0
58,3744,5616,1,413,36,17,143,71,145,37,17,143,71,145
59,3744,5616,1,81,6,4,16,55,1,6,4,16,54,1
60,3744,5616,0,9,5,4,0,0,0,5,4,0,0,0
61,3328,4992,0,1,0,0,1,0,0,0,0,1,0,0
62,3744,5616,1,258,6,2,222,28,1,6,2,221,28,1
63,3744,5616,1,161,7,22,58,15,60,7,22,58,15,59
64,3328,4992,0,16,5,5,6,0,0,5,5,6,0,0
65,3744,5616,0,588,29,8,267,14,270,29,8,267,14,270
66,3744,5616,55,55,0,0,0,0,0,8,5,23,17,2
67,3744,5616,6,71,10,7,30,4,26,9,3,30,4,25
68,3328,4992,0,10,4,3,3,0,0,4,3,3,0,0
69,3744,5616,0,97,4,2,46,31,14,4,2,46,31,14
70,3744,5616,0,671,9,11,15,636,0,9,11,15,636,0
72,3744,5616,0,129,13,3,56,37,20,13,3,56,37,20
73,3328,4992,1,36,3,0,20,6,8,3,0,20,6,7
74,3744,5616,1,6,1,2,0,4,0,1,2,0,3,0
75,3328,4992,0,38,3,1,0,34,0,3,1,0,34,0
76,3328,4992,0,8,5,3,0,0,0,5,3,0,0,0
77,3328,4992,2,286,20,11,136,37,84,19,11,136,37,83
78,3328,4992,0,15,2,2,6,0,5,2,2,6,0,5
79,3744,5616,0,79,11,5,37,0,26,11,5,37,0,26
