"test_id","adult_males","subadult_males","adult_females","juveniles","pups"
0,3,4,0,0,0
1,1,4,0,0,0
2,2,4,0,0,0
3,4,4,0,0,0
4,2,4,0,0,0
5,5,4,0,0,0
6,2,4,0,0,0
7,2,4,0,0,0
8,2,4,0,0,0
9,3,4,0,0,0
10,5,4,0,0,0
11,2,4,0,0,0
12,4,4,0,0,0
13,4,4,0,0,0
14,2,4,0,0,0
15,5,4,0,0,0
16,2,4,0,0,0
17,2,4,0,0,0
18,3,4,0,0,0
19,1,4,0,0,0
20,6,4,14,4,8
21,4,4,0,0,0
22,15,4,98,29,59
23,1,4,0,0,0
24,5,4,0,0,0
25,4,4,0,0,0
26,2,4,0,0,0
27,9,4,42,13,25
28,3,4,0,0,0
29,2,4,0,0,0
30,3,4,0,0,0
31,7,4,17,5,10
32,5,4,0,0,0
33,4,4,0,0,0
34,2,4,0,0,0
35,2,4,0,0,0
36,5,4,0,0,0
37,3,4,0,0,0
38,5,4,0,0,0
39,3,4,0,0,0
40,2,4,0,0,0
41,2,4,0,0,0
42,0,4,0,0,0
43,0,4,0,0,0
44,3,4,0,0,0
45,2,4,0,0,0
46,3,4,0,0,0
47,1,4,0,0,0
48,12,4,68,20,41
49,13,4,80,24,48
50,8,4,30,9,18
51,4,4,0,0,0
52,5,4,0,0,0
53,4,4,0,0,0
54,12,4,73,22,44
55,6,4,15,4,9
56,4,4,0,0,0
57,1,4,0,0,0
58,5,4,0,0,0
59,4,4,0,0,0
60,4,4,0,0,0
61,2,4,0,0,0
62,4,4,0,0,0
63,6,4,5,2,3
64,8,4,35,10,21
65,1,4,0,0,0
66,0,4,0,0,0
67,6,4,8,2,5
68,2,4,0,0,0
69,2,4,0,0,0
70,3,4,0,0,0
71,1,4,0,0,0
72,2,4,0,0,0
73,1,4,0,0,0
74,3,4,0,0,0
75,7,4,22,7,13
76,6,4,9,3,5
77,3,4,0,0,0
78,0,4,0,0,0
79,4,4,0,0,0
80,5,4,0,0,0
81,1,4,0,0,0
82,1,4,0,0,0
83,0,4,0,0,0
84,1,4,0,0,0
85,2,4,0,0,0
86,10,4,47,14,28
87,7,4,19,6,11
88,6,4,9,3,5
89,2,4,0,0,0
90,6,4,8,2,5
91,2,4,0,0,0
92,8,4,29,9,17
93,3,4,0,0,0
94,7,4,22,7,13
95,9,4,36,11,22
96,6,4,8,2,5
97,0,4,0,0,0
98,6,4,13,4,8
99,3,4,0,0,0
100,3,4,0,0,0
101,1,4,0,0,0
102,2,4,0,0,0
103,4,4,0,0,0
104,1,4,0,0,0
105,2,4,0,0,0
106,10,4,49,15,29
107,9,4,43,13,26
108,4,4,0,0,0
109,6,4,12,4,7
110,2,4,0,0,0
111,0,4,0,0,0
112,7,4,19,6,11
113,4,4,0,0,0
114,2,4,0,0,0
115,6,4,6,2,4
116,2,4,0,0,0
117,3,4,0,0,0
118,4,4,0,0,0
119,1,4,0,0,0
120,3,4,0,0,0
121,5,4,0,0,0
122,3,4,0,0,0
123,2,4,0,0,0
124,2,4,0,0,0
125,1,4,0,0,0
126,1,4,0,0,0
127,5,4,0,0,0
128,10,4,49,15,29
129,2,4,0,0,0
130,4,4,0,0,0
131,1,4,0,0,0
132,3,4,0,0,0
133,10,4,49,15,29
134,4,4,0,0,0
135,5,4,3,1,2
136,2,4,0,0,0
137,0,4,0,0,0
138,1,4,0,0,0
139,6,4,11,3,7
140,4,4,0,0,0
