"test_id","adult_males","subadult_males","adult_females","juveniles","pups"
0,8,4,26,8,16
1,3,4,0,0,0
2,5,4,3,1,2
3,10,4,46,14,28
4,8,4,30,9,18
5,8,4,30,9,18
6,7,4,18,5,11
7,5,4,0,0,0
8,7,4,19,6,11
9,6,4,9,3,5
10,9,4,39,12,23
11,4,4,0,0,0
12,7,4,22,7,13
13,8,4,32,10,19
14,5,4,2,1,1
15,10,4,52,16,31
16,6,4,15,4,9
17,5,4,4,1,2
18,8,4,27,8,16
19,5,4,0,0,0
20,13,4,84,25,50
21,8,4,27,8,16
22,29,4,240,72,144
23,4,4,0,0,0
24,10,4,46,14,28
25,9,4,38,11,23
26,5,4,0,0,0
27,17,4,117,35,70
28,7,4,21,6,13
29,5,4,0,0,0
30,5,4,0,0,0
31,15,4,102,31,61
32,11,4,64,19,38
33,11,4,57,17,34
34,6,4,6,2,4
35,5,4,0,0,0
36,10,4,47,14,28
37,9,4,37,11,22
38,14,4,86,26,52
39,7,4,23,7,14
40,6,4,7,2,4
41,6,4,15,4,9
42,4,4,0,0,0
43,2,4,0,0,0
44,7,4,17,5,10
45,6,4,9,3,5
46,9,4,39,12,23
47,4,4,0,0,0
48,19,4,137,41,82
49,25,4,201,60,121
50,22,4,169,51,101
51,9,4,40,12,24
52,9,4,43,13,26
53,11,4,61,18,37
54,26,4,208,62,125
55,12,4,74,22,44
56,13,4,78,23,47
57,4,4,0,0,0
58,9,4,36,11,22
59,9,4,38,11,23
60,10,4,55,16,33
61,6,4,9,3,5
62,10,4,50,15,30
63,15,4,100,30,60
64,20,4,151,45,91
65,5,4,0,0,0
66,3,4,0,0,0
67,10,4,52,16,31
68,4,4,0,0,0
69,5,4,3,1,2
70,6,4,13,4,8
71,4,4,0,0,0
72,4,4,0,0,0
73,4,4,0,0,0
74,7,4,17,5,10
75,15,4,96,29,58
76,13,4,80,24,48
77,7,4,20,6,12
78,2,4,0,0,0
79,10,4,54,16,32
80,16,4,108,32,65
81,6,4,5,2,3
82,3,4,0,0,0
83,4,4,0,0,0
84,6,4,5,2,3
85,7,4,22,7,13
86,19,4,136,41,82
87,11,4,63,19,38
88,12,4,72,22,43
89,5,4,0,0,0
90,12,4,70,21,42
91,6,4,6,2,4
92,13,4,83,25,50
93,7,4,20,6,12
94,18,4,126,38,76
95,18,4,126,38,76
96,13,4,79,24,47
97,2,4,0,0,0
98,12,4,75,22,45
99,8,4,28,8,17
100,6,4,7,2,4
101,4,4,0,0,0
102,6,4,7,2,4
103,7,4,23,7,14
104,3,4,0,0,0
105,8,4,31,9,19
106,19,4,139,42,83
107,20,4,148,44,89
108,8,4,25,8,15
109,11,4,56,17,34
110,4,4,0,0,0
111,1,4,0,0,0
112,18,4,125,38,75
113,9,4,43,13,26
114,6,4,12,4,7
115,16,4,106,32,64
116,6,4,11,3,7
117,7,4,19,6,11
118,10,4,51,15,31
119,4,4,0,0,0
120,7,4,16,5,10
121,10,4,53,16,32
122,7,4,16,5,10
123,7,4,20,6,12
124,4,4,0,0,0
125,4,4,0,0,0
126,5,4,0,0,0
127,13,4,83,25,50
128,17,4,120,36,72
129,8,4,27,8,16
130,9,4,39,12,23
131,2,4,0,0,0
132,7,4,20,6,12
133,18,4,130,39,78
134,9,4,38,11,23
135,12,4,73,22,44
136,6,4,5,2,3
137,3,4,0,0,0
138,5,4,2,1,1
139,11,4,61,18,37
140,8,4,29,9,17
141,3,4,0,0,0
142,5,4,2,1,1
143,8,4,27,8,16
144,11,4,59,18,35
145,7,4,16,5,10
146,5,4,0,0,0
147,15,4,98,29,59
148,12,4,75,22,45
149,9,4,38,11,23
150,22,4,166,50,100
151,3,4,0,0,0
152,8,4,33,10,20
153,6,4,9,3,5
154,21,4,156,47,94
155,4,4,0,0,0
156,20,4,151,45,91
157,6,4,7,2,4
158,2,4,0,0,0
159,4,4,0,0,0
160,8,4,34,10,20
161,5,4,0,0,0
162,17,4,117,35,70
163,35,4,301,90,181
164,8,4,27,8,16
165,4,4,0,0,0
166,12,4,73,22,44
167,6,4,11,3,7
168,6,4,15,4,9
169,10,4,46,14,28
170,6,4,13,4,8
171,5,4,1,0,1
172,14,4,90,27,54
173,9,4,38,11,23
174,7,4,16,5,10
175,17,4,117,35,70
176,22,4,170,51,102
177,5,4,3,1,2
178,8,4,31,9,19
179,23,4,179,54,107
180,14,4,90,27,54
181,8,4,25,8,15
182,6,4,15,4,9
183,10,4,48,14,29
184,5,4,1,0,1
