"test_id","adult_males","subadult_males","adult_females","juveniles","pups"
0,6,4,27,8,11
1,2,4,0,0,0
2,3,4,3,1,1
3,7,4,41,12,16
4,5,4,23,7,9
5,6,4,32,10,13
6,4,4,14,4,6
7,3,4,0,0,0
8,4,4,5,2,2
9,3,4,4,1,2
10,7,4,36,11,14
11,4,4,6,2,2
12,5,4,23,7,9
13,6,4,25,8,10
14,4,4,5,2,2
15,8,4,45,14,18
16,4,4,10,3,4
17,4,4,8,2,3
18,4,4,15,4,6
19,3,4,0,0,0
20,10,4,69,21,28
21,5,4,19,6,8
22,22,4,192,58,77
23,2,4,0,0,0
24,8,4,45,14,18
25,6,4,33,10,13
26,3,4,0,0,0
27,14,4,105,32,42
28,5,4,24,7,10
29,3,4,2,1,1
30,4,4,11,3,4
31,12,4,86,26,34
32,7,4,44,13,18
33,7,4,36,11,14
34,3,4,2,1,1
35,3,4,0,0,0
36,7,4,42,13,17
37,7,4,41,12,16
38,10,4,73,22,29
39,5,4,21,6,8
40,4,4,12,4,5
41,4,4,12,4,5
42,2,4,0,0,0
43,1,4,0,0,0
44,4,4,13,4,5
45,4,4,6,2,2
46,7,4,39,12,16
47,3,4,0,0,0
48,16,4,128,38,51
49,21,4,178,53,71
50,15,4,119,36,48
51,6,4,27,8,11
52,7,4,39,12,16
53,8,4,52,16,21
54,21,4,176,53,70
55,11,4,76,23,30
56,8,4,52,16,21
57,2,4,0,0,0
58,7,4,37,11,15
59,6,4,28,8,11
60,6,4,30,9,12
61,3,4,1,0,0
62,7,4,38,11,15
63,10,4,73,22,29
64,15,4,119,36,48
65,4,4,12,4,5
66,2,4,0,0,0
67,9,4,58,17,23
68,2,4,0,0,0
69,3,4,0,0,0
70,5,4,17,5,7
71,2,4,0,0,0
72,3,4,2,1,1
73,3,4,0,0,0
74,4,4,13,4,5
75,12,4,92,28,37
76,10,4,67,20,27
77,4,4,11,3,4
78,1,4,0,0,0
79,7,4,39,12,16
80,10,4,73,22,29
81,3,4,0,0,0
82,2,4,0,0,0
83,2,4,0,0,0
84,3,4,4,1,2
85,4,4,5,2,2
86,15,4,124,37,50
87,9,4,64,19,26
88,10,4,68,20,27
89,4,4,8,2,3
90,10,4,69,21,28
91,4,4,12,4,5
92,11,4,78,23,31
93,4,4,15,4,6
94,12,4,90,27,36
95,14,4,106,32,42
96,9,4,63,19,25
97,1,4,0,0,0
98,10,4,65,20,26
99,5,4,24,7,10
100,4,4,9,3,4
101,2,4,0,0,0
102,4,4,10,3,4
103,6,4,26,8,10
104,2,4,0,0,0
105,5,4,24,7,10
106,14,4,113,34,45
107,14,4,113,34,45
108,5,4,23,7,9
109,9,4,57,17,23
110,3,4,0,0,0
111,1,4,0,0,0
112,13,4,102,31,41
113,7,4,36,11,14
114,4,4,14,4,6
115,12,4,86,26,34
116,4,4,12,4,5
117,5,4,19,6,8
118,8,4,47,14,19
119,1,4,0,0,0
120,5,4,20,6,8
121,8,4,45,14,18
122,5,4,24,7,10
123,4,4,14,4,6
124,2,4,0,0,0
125,3,4,0,0,0
