"test_id","adult_males","subadult_males","adult_females","juveniles","pups"
0,3,2,14,8,5
1,1,1,4,2,2
2,1,1,4,2,1
3,0,0,2,1,1
4,1,1,5,3,2
5,4,3,20,12,8
6,0,0,2,1,1
7,1,1,4,2,1
8,2,1,9,5,4
9,1,1,6,3,2
10,4,3,18,11,7
11,2,2,10,6,4
12,2,2,12,8,5
13,1,1,6,4,2
14,0,0,2,1,1
15,8,7,42,26,17
16,3,3,16,10,6
17,1,1,6,3,2
18,2,1,8,4,3
19,2,2,12,7,5
20,10,8,52,31,21
21,2,1,9,5,4
22,19,15,95,57,38
23,0,0,0,0,0
24,7,5,34,20,14
25,3,2,14,8,5
26,1,1,6,4,3
27,13,10,65,39,26
28,3,2,13,8,5
29,1,1,4,2,1
30,3,2,15,9,6
31,13,11,66,40,27
32,5,4,24,15,10
33,1,1,6,4,3
34,2,2,10,6,4
35,1,1,4,3,2
36,7,6,35,21,14
37,5,4,26,16,11
38,12,10,60,36,24
39,2,2,12,8,5
40,4,3,18,11,7
41,0,0,2,2,1
42,0,0,2,2,1
43,0,0,0,0,0
44,3,2,14,8,5
45,4,3,20,12,8
46,4,4,22,14,9
47,1,1,4,3,2
48,17,14,86,52,35
49,24,19,118,71,47
50,21,17,106,64,42
51,7,5,34,20,13
52,2,2,12,7,5
53,5,4,24,14,10
54,23,18,114,68,46
55,10,8,52,31,21
56,9,7,46,27,18
57,0,0,2,1,1
58,5,4,23,14,9
59,4,3,22,13,9
60,0,0,2,1,1
61,1,1,7,4,3
62,9,7,43,26,17
63,15,12,73,44,29
64,12,10,60,36,24
65,1,0,3,2,1
66,0,0,0,0,0
67,7,5,34,20,13
68,0,0,2,2,1
69,2,1,8,5,3
70,0,0,2,1,1
71,1,0,3,2,1
72,3,2,14,8,6
73,1,1,4,3,2
74,3,2,16,9,6
75,14,11,68,41,27
76,9,7,45,27,18
77,3,2,16,9,6
78,0,0,2,1,1
79,4,3,18,11,7
80,15,12,76,46,31
81,0,0,2,1,1
82,0,0,0,0,0
83,0,0,0,0,0
84,0,0,0,0,0
85,4,3,18,11,7
86,15,12,74,44,30
87,7,6,35,21,14
88,8,6,38,23,15
89,3,3,16,10,7
90,9,7,46,28,19
91,3,2,14,8,6
92,10,8,52,32,21
93,1,1,7,4,3
94,13,10,66,39,26
95,15,12,76,46,31
96,9,8,47,28,19
97,0,0,0,0,0
98,2,2,12,7,5
99,2,2,12,8,5
100,3,2,15,9,6
101,1,1,4,2,2
102,1,1,7,4,3
103,4,4,22,14,9
104,1,1,5,3,2
105,7,5,34,20,14
106,15,12,74,44,30
107,15,12,76,46,31
108,3,2,14,8,5
109,8,7,42,25,17
110,2,1,8,5,3
111,0,0,2,1,1
112,17,14,86,52,35
113,0,0,2,1,1
114,2,1,8,5,3
115,15,12,73,44,29
116,0,0,2,2,1
117,1,1,6,4,3
118,7,5,34,20,14
119,1,1,4,2,1
120,2,2,12,7,5
121,4,4,22,14,9
122,3,2,14,8,6
123,4,3,20,12,8
124,1,1,6,3,2
125,0,0,2,2,1
126,1,1,4,2,2
127,12,10,60,36,24
128,13,10,64,38,26
129,3,2,14,8,6
130,5,4,26,16,11
131,0,0,0,0,0
132,5,4,24,15,10
133,17,13,83,50,33
134,1,1,7,4,3
135,9,8,47,28,19
136,2,1,9,5,4
137,1,0,3,2,1
138,2,1,8,5,3
139,10,8,48,29,19
140,1,1,4,2,2
141,2,1,9,5,4
142,0,0,0,0,0
143,4,3,20,12,8
144,3,2,14,9,6
145,4,3,20,12,8
146,0,0,2,2,1
147,7,6,34,21,14
148,9,8,47,28,19
149,6,5,30,18,12
150,20,16,100,60,40
151,1,1,6,3,2
152,0,0,2,1,1
153,1,1,4,3,2
154,3,2,14,8,6
155,1,1,4,2,1
156,7,5,34,20,13
157,0,0,2,1,1
158,0,0,0,0,0
159,1,1,6,4,2
160,2,2,12,7,5
161,1,1,6,4,2
162,15,12,74,45,30
163,38,30,188,113,75
164,3,3,16,10,7
165,1,0,3,2,1
166,8,6,40,24,16
167,2,2,12,7,5
168,1,1,4,3,2
169,7,5,33,20,13
170,4,4,22,13,9
171,3,2,14,8,6
172,10,8,48,29,19
173,2,1,9,5,4
174,1,1,5,3,2
175,14,12,72,44,29
176,17,13,83,50,33
177,2,2,11,7,4
178,3,2,16,9,6
179,25,20,126,75,50
180,2,1,8,5,3
181,4,3,18,11,7
182,2,2,12,7,5
183,2,2,12,8,5
184,1,1,6,3,2
185,9,7,46,28,19
186,19,15,96,58,39
187,0,0,0,0,0
188,5,4,26,16,11
189,3,2,14,9,6
190,4,3,18,11,7
191,2,2,10,6,4
192,4,4,22,14,9
193,0,0,2,2,1
194,7,6,34,21,14
195,0,0,2,1,1
196,0,0,0,0,0
197,0,0,1,1,0
198,2,2,12,7,5
199,4,3,20,12,8
200,2,2,10,6,4
201,16,13,78,47,31
202,1,0,3,2,1
203,0,0,2,2,1
204,17,13,84,50,34
205,3,2,15,9,6
206,10,8,48,28,19
207,1,1,6,3,2
208,0,0,0,0,0
209,2,1,8,4,3
210,1,1,4,3,2
211,3,2,14,9,6
212,6,5,28,17,11
213,2,2,12,7,5
214,6,4,28,17,11
215,2,1,8,5,3
216,1,1,4,2,1
217,3,2,16,9,6
218,3,2,16,9,6
219,2,1,8,5,3
220,2,2,10,6,4
221,8,6,38,22,15
222,2,2,12,7,5
223,3,2,15,9,6
224,7,6,36,22,15
225,1,1,4,2,2
226,5,4,26,16,10
227,0,0,2,1,1
228,8,6,39,23,16
229,0,0,0,0,0
230,11,8,53,32,21
231,3,2,16,9,6
232,0,0,0,0,0
233,1,1,5,3,2
234,8,6,38,23,15
235,12,9,59,35,24
236,6,5,28,17,11
237,2,1,8,5,3
238,4,3,20,12,8
239,3,2,13,8,5
240,15,12,75,45,30
241,4,3,20,12,8
242,0,0,1,1,0
243,2,1,8,4,3
244,1,0,3,2,1
245,9,7,44,26,17
246,8,7,42,25,17
247,7,6,37,22,15
248,0,0,0,0,0
249,4,3,22,13,9
250,3,2,16,9,6
251,4,4,22,13,9
252,4,3,20,12,8
253,8,7,42,25,17
254,1,1,4,2,2
255,6,5,30,18,12
256,1,1,6,3,2
257,1,1,5,3,2
258,5,4,23,14,9
259,16,12,78,47,31
260,3,2,13,8,5
261,0,0,1,1,0
262,2,1,8,5,3
263,1,1,6,4,3
264,2,2,12,8,5
265,2,2,12,7,5
266,12,10,60,36,24
267,8,7,42,26,17
268,6,5,28,17,11
269,14,11,70,42,28
270,0,0,2,1,1
271,15,12,74,44,29
272,1,1,6,4,3
273,22,18,110,66,44
274,4,3,20,12,8
275,21,17,107,64,43
276,0,0,2,2,1
277,0,0,2,2,1
278,2,1,8,4,3
279,10,8,52,32,21
280,12,9,58,35,23
281,6,5,30,18,12
282,1,1,6,3,2
283,1,1,4,2,1
284,15,12,76,46,30
285,7,5,33,20,13
286,9,7,44,26,18
287,2,1,8,5,3
288,1,1,6,4,2
289,11,9,54,33,22
290,0,0,2,1,1
291,1,1,6,4,2
292,9,7,44,26,18
293,1,1,7,4,3
294,1,1,4,2,2
295,15,12,73,44,29
296,6,5,32,19,13
297,0,0,2,1,1
298,2,2,11,7,4
299,1,1,5,3,2
300,18,14,90,54,36
301,6,5,30,18,12
302,9,7,44,27,18
303,12,10,60,36,24
304,8,6,38,22,15
305,0,0,2,2,1
306,30,24,152,91,61
307,1,1,7,4,3
308,1,1,4,2,1
309,0,0,2,1,1
310,2,1,8,5,3
311,1,1,5,3,2
312,2,1,8,4,3
313,12,9,58,34,23
314,1,1,5,3,2
315,7,5,33,20,13
316,8,6,38,22,15
317,8,6,39,23,16
318,9,7,44,26,18
319,3,2,14,9,6
320,2,1,8,5,3
321,2,2,10,6,4
322,35,28,176,105,70
323,2,2,12,7,5
324,1,1,4,2,2
325,0,0,2,1,1
326,0,0,0,0,0
327,1,1,6,4,3
328,0,0,2,2,1
329,2,1,8,4,3
330,7,6,37,22,15
331,7,6,34,21,14
332,2,2,12,7,5
333,4,3,18,11,7
334,1,1,4,2,1
335,3,2,14,8,6
336,0,0,1,1,0
337,18,14,88,52,35
338,3,2,14,8,5
339,0,0,2,1,1
340,1,1,4,2,2
341,18,14,90,54,36
342,0,0,2,1,1
343,1,1,7,4,3
344,9,7,43,26,17
345,0,0,2,2,1
346,1,1,7,4,3
347,3,2,15,9,6
348,0,0,2,1,1
349,3,3,16,10,7
350,4,3,22,13,9
351,7,5,33,20,13
352,2,2,12,7,5
353,1,1,7,4,3
354,20,16,98,59,39
355,6,5,29,17,12
356,2,2,10,6,4
357,9,7,43,26,17
358,1,0,3,2,1
359,2,2,12,8,5
360,16,13,80,48,32
361,26,21,132,79,53
362,7,5,34,20,13
363,1,1,6,4,3
364,6,5,28,17,11
365,0,0,2,2,1
366,1,1,4,2,1
367,1,1,4,3,2
368,3,2,14,9,6
369,0,0,2,1,1
370,4,3,20,12,8
371,0,0,0,0,0
372,1,0,3,2,1
373,3,3,16,10,7
374,1,1,4,2,2
375,1,0,3,2,1
376,13,10,64,38,26
377,0,0,2,1,1
378,1,1,6,4,2
379,0,0,1,1,0
380,2,2,12,8,5
381,4,3,18,10,7
382,1,1,4,2,2
383,2,2,10,6,4
384,0,0,0,0,0
385,2,2,10,6,4
386,2,2,12,7,5
387,3,2,14,8,5
388,1,1,4,2,1
389,14,11,71,43,28
390,8,7,42,25,17
391,7,6,37,22,15
392,5,4,26,16,10
393,1,1,4,2,1
394,12,9,58,34,23
395,2,1,8,5,3
396,4,3,19,11,8
397,6,5,30,18,12
398,7,6,37,22,15
399,2,1,8,5,3
400,0,0,0,0,0
401,2,1,8,4,3
402,14,11,70,42,28
403,2,2,12,7,5
404,1,0,3,2,1
405,2,2,10,6,4
406,5,4,26,15,10
407,1,1,7,4,3
408,5,4,26,16,11
409,11,8,53,32,21
410,4,3,20,12,8
411,3,2,13,8,5
412,1,1,6,4,3
413,12,9,58,35,23
414,4,3,18,11,7
415,1,1,4,3,2
416,2,1,8,4,3
417,19,15,95,57,38
418,1,1,4,3,2
419,4,3,18,11,7
420,6,5,28,17,11
421,2,1,8,4,3
422,2,2,10,6,4
423,0,0,0,0,0
424,1,1,6,3,2
425,8,7,42,26,17
426,15,12,74,44,29
427,7,6,36,22,15
428,2,2,12,8,5
429,1,1,4,2,1
