"test_id","adult_males","subadult_males","adult_females","juveniles","pups"
0,2,2,11,5,4
1,1,1,3,2,1
2,1,1,3,1,1
3,0,0,1,1,0
4,1,1,4,2,2
5,3,3,16,8,6
6,0,0,2,1,1
7,1,1,3,1,1
8,1,1,7,4,3
9,1,1,4,2,2
10,3,3,15,7,6
11,2,2,8,4,3
12,2,2,10,5,4
13,1,1,5,2,2
14,0,0,2,1,1
15,7,7,34,17,13
16,3,3,13,6,5
17,1,1,4,2,2
18,1,1,6,3,2
19,2,2,10,5,4
20,8,8,41,21,15
21,1,1,7,4,3
22,15,15,76,38,28
23,0,0,0,0,0
24,5,5,27,14,10
25,2,2,11,5,4
26,1,1,5,3,2
27,10,10,52,26,20
28,2,2,10,5,4
29,1,1,3,1,1
30,2,2,12,6,4
31,11,11,53,27,20
32,4,4,20,10,7
33,1,1,5,3,2
34,2,2,8,4,3
35,1,1,4,2,1
36,6,6,28,14,10
37,4,4,21,11,8
38,10,10,48,24,18
39,2,2,10,5,4
40,3,3,14,7,5
41,0,0,2,1,1
42,0,0,2,1,1
43,0,0,0,0,0
44,2,2,11,5,4
45,3,3,16,8,6
46,4,4,18,9,7
47,1,1,4,2,1
48,14,14,69,35,26
49,19,19,94,47,35
50,17,17,85,42,32
51,5,5,27,13,10
52,2,2,10,5,4
53,4,4,19,10,7
54,18,18,91,46,34
55,8,8,42,21,16
56,7,7,36,18,14
57,0,0,1,1,0
58,4,4,18,9,7
59,3,3,17,9,6
60,0,0,2,1,1
61,1,1,6,3,2
62,7,7,34,17,13
63,12,12,58,29,22
64,10,10,48,24,18
65,0,0,2,1,1
66,0,0,0,0,0
67,5,5,27,13,10
68,0,0,2,1,1
69,1,1,7,3,3
70,0,0,2,1,1
71,0,0,2,1,1
72,2,2,11,6,4
73,1,1,4,2,1
74,2,2,12,6,5
75,11,11,54,27,20
76,7,7,36,18,14
77,2,2,12,6,5
78,0,0,2,1,1
79,3,3,15,7,6
80,12,12,61,31,23
81,0,0,2,1,1
82,0,0,0,0,0
83,0,0,0,0,0
84,0,0,0,0,0
85,3,3,15,7,6
86,12,12,59,30,22
87,6,6,28,14,10
88,6,6,30,15,11
89,3,3,13,7,5
90,7,7,37,19,14
91,2,2,11,6,4
92,8,8,42,21,16
93,1,1,6,3,2
94,10,10,52,26,20
95,12,12,61,31,23
96,8,8,38,19,14
97,0,0,0,0,0
98,2,2,9,5,3
99,2,2,10,5,4
100,2,2,12,6,4
101,1,1,3,2,1
102,1,1,6,3,2
103,4,4,18,9,7
104,1,1,4,2,2
105,5,5,27,14,10
106,12,12,59,30,22
107,12,12,61,31,23
108,2,2,11,5,4
109,7,7,34,17,13
110,1,1,7,3,3
111,0,0,2,1,1
112,14,14,69,35,26
113,0,0,1,1,0
114,1,1,6,3,2
115,12,12,58,29,22
116,0,0,2,1,1
117,1,1,5,3,2
118,5,5,27,14,10
119,1,1,3,1,1
120,2,2,10,5,4
121,4,4,18,9,7
122,2,2,11,6,4
123,3,3,16,8,6
124,1,1,4,2,2
125,0,0,2,1,1
126,1,1,3,2,1
127,10,10,48,24,18
128,10,10,51,26,19
129,2,2,11,6,4
130,4,4,21,11,8
131,0,0,0,0,0
132,4,4,20,10,7
133,13,13,66,33,25
134,1,1,6,3,2
135,8,8,38,19,14
136,1,1,7,4,3
137,0,0,2,1,1
138,1,1,6,3,2
139,8,8,39,19,15
140,1,1,3,2,1
141,1,1,7,4,3
142,0,0,0,0,0
143,3,3,16,8,6
144,2,2,12,6,4
145,3,3,16,8,6
146,0,0,2,1,1
147,6,6,28,14,10
148,8,8,38,19,14
149,5,5,24,12,9
150,16,16,80,40,30
151,1,1,4,2,2
152,0,0,1,1,0
153,1,1,4,2,1
154,2,2,11,6,4
155,1,1,3,1,1
156,5,5,27,13,10
157,0,0,2,1,1
158,0,0,0,0,0
159,1,1,5,2,2
160,2,2,9,5,3
161,1,1,5,2,2
162,12,12,60,30,22
163,30,30,150,75,56
164,3,3,13,7,5
165,0,0,2,1,1
166,6,6,32,16,12
167,2,2,10,5,4
168,1,1,4,2,1
169,5,5,26,13,10
170,4,4,18,9,7
171,2,2,11,6,4
172,8,8,39,19,15
173,1,1,7,4,3
174,1,1,4,2,2
175,12,12,58,29,22
176,13,13,66,33,25
177,2,2,9,4,3
178,2,2,12,6,5
179,20,20,100,50,38
180,1,1,6,3,2
181,3,3,15,7,6
182,2,2,10,5,4
183,2,2,10,5,4
184,1,1,4,2,2
185,7,7,37,19,14
186,15,15,77,39,29
187,0,0,0,0,0
188,4,4,21,11,8
189,2,2,12,6,4
190,3,3,14,7,5
191,2,2,8,4,3
192,4,4,18,9,7
193,0,0,2,1,1
194,6,6,28,14,10
195,0,0,2,1,1
