"test_id","adult_males","subadult_males","adult_females","juveniles","pups"
0,3,4,13,6,5
1,1,4,4,2,2
2,0,4,2,1,1
3,0,4,2,1,1
4,1,4,4,2,2
5,4,4,18,9,7
6,0,4,1,0,0
7,0,4,2,1,1
8,2,4,9,4,4
9,1,4,4,2,1
10,3,4,16,8,6
11,2,4,9,4,4
12,2,4,11,6,4
13,1,4,3,2,1
14,0,4,1,0,0
15,8,4,40,20,16
16,3,4,15,8,6
17,1,4,4,2,2
18,1,4,7,4,3
19,2,4,11,6,4
20,10,4,48,24,19
21,2,4,9,4,4
22,19,4,94,47,37
23,0,0,0,0,0
24,6,4,30,15,12
25,3,4,14,7,5
26,1,4,6,3,2
27,12,4,62,31,25
28,2,4,12,6,5
29,0,4,1,0,0
30,3,4,14,7,6
31,13,4,65,32,26
32,4,4,22,11,9
33,1,4,4,2,2
34,2,4,8,4,3
35,1,4,4,2,1
36,7,4,35,18,14
37,5,4,26,13,10
38,12,4,60,30,24
39,2,4,12,6,5
40,4,4,18,9,7
41,0,4,2,1,1
42,0,4,0,0,0
43,0,0,0,0,0
44,2,4,12,6,5
45,4,4,20,10,8
46,4,4,22,11,9
47,1,4,4,2,2
48,17,4,84,42,34
49,22,4,112,56,45
50,21,4,105,52,42
51,6,4,32,16,13
52,2,4,12,6,5
53,4,4,21,10,8
54,22,4,109,54,44
55,10,4,52,26,21
56,8,4,40,20,16
57,0,4,2,1,1
58,4,4,19,10,8
59,4,4,20,10,8
60,0,4,0,0,0
61,1,4,5,2,2
62,8,4,42,21,17
63,15,4,73,36,29
64,12,4,59,30,24
65,0,4,2,1,1
66,0,0,0,0,0
67,6,4,30,15,12
68,0,4,2,1,1
69,2,4,8,4,3
70,0,4,2,1,1
71,0,4,2,1,1
72,2,4,12,6,5
73,1,4,3,2,1
74,2,4,12,6,5
75,14,4,68,34,27
76,9,4,44,22,17
77,3,4,14,7,6
78,0,4,2,1,1
79,4,4,18,9,7
80,15,4,76,38,30
81,0,4,1,0,0
82,0,4,0,0,0
83,0,4,0,0,0
84,0,4,0,0,0
85,4,4,18,9,7
86,14,4,72,36,29
87,7,4,34,17,14
88,8,4,38,19,15
89,3,4,16,8,7
90,9,4,44,22,18
91,3,4,14,7,5
92,10,4,52,26,21
93,1,4,5,2,2
94,13,4,64,32,26
95,15,4,76,38,30
96,9,4,46,23,18
97,0,0,0,0,0
98,2,4,10,5,4
99,2,4,11,6,4
100,3,4,14,7,6
101,0,4,2,1,1
102,1,4,6,3,3
103,4,4,22,11,9
104,1,4,5,2,2
105,6,4,32,16,13
106,14,4,71,36,28
107,15,4,74,37,30
108,3,4,13,6,5
109,8,4,41,20,16
110,2,4,8,4,3
111,0,4,1,0,0
112,17,4,86,43,34
113,0,4,2,1,1
114,2,4,8,4,3
115,14,4,72,36,29
116,0,4,2,1,1
117,1,4,4,2,2
118,6,4,32,16,13
119,0,4,2,1,1
120,2,4,10,5,4
121,4,4,21,10,8
122,3,4,14,7,6
123,4,4,19,10,8
124,1,4,6,3,2
125,0,4,2,1,1
126,1,4,4,2,1
127,12,4,60,30,24
128,12,4,62,31,25
129,3,4,14,7,5
130,5,4,25,12,10
131,0,4,0,0,0
132,5,4,24,12,10
133,16,4,80,40,32
134,1,4,5,2,2
135,9,4,44,22,18
136,2,4,8,4,3
137,0,4,2,1,1
138,1,4,7,4,3
139,9,4,46,23,19
140,1,4,4,2,2
141,2,4,8,4,3
142,0,4,0,0,0
143,4,4,18,9,7
144,2,4,12,6,5
145,4,4,19,10,8
146,0,4,2,1,1
147,7,4,33,16,13
148,9,4,45,22,18
149,6,4,30,15,12
150,19,4,96,48,39
151,1,4,4,2,2
152,0,4,1,0,0
153,1,4,4,2,2
154,3,4,14,7,6
155,1,4,3,2,1
156,6,4,28,14,11
157,0,4,2,1,1
158,0,4,0,0,0
159,1,4,6,3,2
160,2,4,10,5,4
161,1,4,6,3,2
162,14,4,71,36,28
163,37,4,184,92,74
164,3,4,16,8,6
165,1,4,3,2,1
166,7,4,36,18,14
167,2,4,12,6,5
168,1,4,4,2,1
169,6,4,30,15,12
170,4,4,22,11,9
171,2,4,12,6,5
172,10,4,48,24,19
173,2,4,8,4,3
174,1,4,4,2,2
175,14,4,70,35,28
176,16,4,80,40,32
177,2,4,11,6,4
178,2,4,11,6,4
179,25,4,124,62,50
180,1,4,4,2,2
181,4,4,18,9,7
182,2,4,10,5,4
183,2,4,10,5,4
184,1,4,4,2,1
185,8,4,42,21,17
186,18,4,91,46,36
187,0,4,0,0,0
188,4,4,22,11,9
189,3,4,14,7,6
190,3,4,16,8,7
191,2,4,9,4,4
192,4,4,20,10,8
193,0,4,2,1,1
194,7,4,34,17,14
195,0,4,2,1,1
196,0,0,0,0,0
197,0,0,0,0,0
198,2,4,11,6,4
199,4,4,20,10,8
200,2,4,10,5,4
201,16,4,78,39,31
202,0,4,2,1,1
203,0,4,2,1,1
204,16,4,82,41,33
205,3,4,14,7,6
206,8,4,38,19,15
207,1,4,6,3,2
208,0,4,0,0,0
209,1,4,6,3,2
210,1,4,4,2,2
211,2,4,12,6,5
212,5,4,27,14,11
213,2,4,10,5,4
214,6,4,28,14,11
215,2,4,8,4,3
216,0,4,2,1,1
217,3,4,15,8,6
218,1,4,7,4,3
219,1,4,6,3,2
220,2,4,8,4,3
221,7,4,36,18,15
222,2,4,12,6,5
223,3,4,13,6,5
224,7,4,34,17,14
225,1,4,4,2,2
226,5,4,24,12,10
227,0,4,1,0,0
228,7,4,37,18,15
229,0,4,0,0,0
230,9,4,46,23,19
231,2,4,12,6,5
232,0,4,0,0,0
233,1,4,4,2,2
234,7,4,37,18,15
235,11,4,56,28,23
236,6,4,28,14,11
237,2,4,8,4,3
238,4,4,20,10,8
239,2,4,10,5,4
240,14,4,72,36,29
241,3,4,16,8,7
242,0,0,0,0,0
243,2,4,8,4,3
244,1,4,3,2,1
245,8,4,42,21,17
246,8,4,41,20,16
247,7,4,36,18,14
248,0,4,0,0,0
249,4,4,19,10,8
250,3,4,16,8,6
251,4,4,20,10,8
252,4,4,18,9,7
253,7,4,36,18,14
254,1,4,4,2,2
255,6,4,30,15,12
256,1,4,6,3,2
257,1,4,4,2,2
258,4,4,22,11,9
259,16,4,78,39,31
260,2,4,12,6,5
261,0,4,0,0,0
262,2,4,8,4,3
263,1,4,6,3,2
264,2,4,12,6,5
265,2,4,10,5,4
266,12,4,58,29,23
267,8,4,38,19,15
268,6,4,28,14,11
269,14,4,68,34,27
270,0,4,2,1,1
271,14,4,72,36,29
272,1,4,6,3,3
273,22,4,110,55,44
274,4,4,18,9,7
275,20,4,102,51,41
276,0,4,2,1,1
277,0,4,2,1,1
278,1,4,6,3,2
279,10,4,50,25,20
280,11,4,56,28,23
281,6,4,29,14,12
282,1,4,4,2,2
283,1,4,3,2,1
284,15,4,74,37,30
285,6,4,32,16,13
286,9,4,43,22,17
287,1,4,4,2,2
288,1,4,5,2,2
289,10,4,52,26,21
290,0,4,1,0,0
291,1,4,6,3,2
