"test_id","adult_males","subadult_males","adult_females","juveniles","pups"
0,5,4,0,0,0
1,2,4,0,0,0
2,2,4,0,0,0
3,6,4,9,3,5
4,4,4,0,0,0
5,5,4,3,1,2
6,3,4,0,0,0
7,2,4,0,0,0
8,3,4,0,0,0
9,3,4,0,0,0
10,6,4,6,2,4
11,3,4,0,0,0
12,5,4,0,0,0
13,5,4,0,0,0
14,2,4,0,0,0
15,7,4,18,5,11
16,4,4,0,0,0
17,3,4,0,0,0
18,4,4,0,0,0
19,2,4,0,0,0
20,9,4,37,11,22
21,4,4,0,0,0
22,20,4,147,44,88
23,1,4,0,0,0
24,7,4,16,5,10
25,6,4,7,2,4
26,3,4,0,0,0
27,12,4,70,21,42
28,4,4,0,0,0
29,3,4,0,0,0
30,4,4,0,0,0
31,10,4,51,15,31
32,6,4,15,4,9
33,6,4,10,3,6
34,3,4,0,0,0
35,2,4,0,0,0
36,6,4,15,4,9
37,5,4,1,0,1
38,8,4,35,10,21
39,4,4,0,0,0
40,3,4,0,0,0
41,3,4,0,0,0
42,1,4,0,0,0
43,1,4,0,0,0
44,4,4,0,0,0
45,3,4,0,0,0
46,5,4,0,0,0
47,2,4,0,0,0
48,15,4,97,29,58
49,18,4,129,39,77
50,13,4,77,23,46
51,5,4,0,0,0
52,6,4,7,2,4
53,6,4,12,4,7
54,17,4,121,36,73
55,9,4,36,11,22
56,7,4,20,6,12
57,1,4,0,0,0
58,6,4,9,3,5
59,5,4,0,0,0
60,5,4,0,0,0
61,2,4,0,0,0
62,6,4,6,2,4
63,9,4,36,11,22
64,12,4,73,22,44
65,3,4,0,0,0
66,1,4,0,0,0
67,8,4,30,9,18
68,2,4,0,0,0
69,2,4,0,0,0
70,4,4,0,0,0
71,2,4,0,0,0
72,3,4,0,0,0
73,2,4,0,0,0
74,4,4,0,0,0
75,10,4,47,14,28
76,8,4,29,9,17
77,3,4,0,0,0
78,0,4,0,0,0
79,6,4,7,2,4
80,8,4,28,8,17
81,2,4,0,0,0
82,1,4,0,0,0
83,1,4,0,0,0
84,2,4,0,0,0
85,2,4,0,0,0
86,13,4,81,24,49
87,8,4,34,10,20
88,8,4,31,9,19
89,3,4,0,0,0
90,8,4,28,8,17
91,4,4,0,0,0
92,10,4,46,14,28
93,4,4,0,0,0
94,10,4,49,15,29
95,12,4,70,21,42
96,8,4,27,8,16
97,1,4,0,0,0
98,8,4,33,10,20
99,5,4,0,0,0
100,3,4,0,0,0
101,2,4,0,0,0
102,3,4,0,0,0
103,5,4,0,0,0
104,2,4,0,0,0
105,4,4,0,0,0
106,13,4,80,24,48
107,13,4,76,23,46
108,4,4,0,0,0
109,8,4,28,8,17
110,2,4,0,0,0
111,1,4,0,0,0
112,11,4,58,17,35
113,6,4,5,2,3
114,3,4,0,0,0
115,10,4,50,15,30
116,3,4,0,0,0
117,4,4,0,0,0
118,7,4,18,5,11
119,1,4,0,0,0
120,4,4,0,0,0
121,6,4,14,4,8
122,4,4,0,0,0
123,3,4,0,0,0
124,2,4,0,0,0
125,1,4,0,0,0
126,2,4,0,0,0
127,6,4,13,4,8
128,13,4,79,24,47
129,4,4,0,0,0
130,6,4,9,3,5
131,1,4,0,0,0
132,4,4,0,0,0
133,14,4,86,26,52
134,6,4,6,2,4
135,7,4,21,6,13
136,3,4,0,0,0
137,1,4,0,0,0
138,3,4,0,0,0
139,8,4,29,9,17
140,5,4,2,1,1
141,2,4,0,0,0
142,2,4,0,0,0
143,4,4,0,0,0
144,6,4,15,4,9
145,4,4,0,0,0
146,2,4,0,0,0
147,10,4,54,16,32
148,8,4,34,10,20
149,5,4,0,0,0
150,16,4,109,33,65
151,2,4,0,0,0
152,4,4,0,0,0
153,2,4,0,0,0
154,13,4,78,23,47
155,2,4,0,0,0
156,14,4,88,26,53
157,2,4,0,0,0
158,1,4,0,0,0
159,2,4,0,0,0
160,4,4,0,0,0
161,2,4,0,0,0
162,10,4,53,16,32
163,24,4,192,58,115
164,5,4,0,0,0
165,1,4,0,0,0
166,9,4,36,11,22
167,3,4,0,0,0
168,4,4,0,0,0
169,6,4,5,2,3
170,4,4,0,0,0
171,4,4,0,0,0
172,8,4,32,10,19
173,6,4,12,4,7
174,3,4,0,0,0
175,11,4,62,19,37
176,15,4,99,30,59
177,2,4,0,0,0
178,4,4,0,0,0
179,14,4,85,26,51
180,9,4,43,13,26
181,3,4,0,0,0
182,4,4,0,0,0
183,6,4,12,4,7
184,3,4,0,0,0
185,9,4,42,13,25
186,14,4,89,27,53
187,3,4,0,0,0
188,7,4,22,7,13
189,4,4,0,0,0
190,4,4,0,0,0
191,3,4,0,0,0
192,6,4,12,4,7
193,2,4,0,0,0
194,8,4,31,9,19
195,3,4,0,0,0
196,6,4,15,4,9
197,1,4,0,0,0
198,3,4,0,0,0
199,5,4,0,0,0
200,4,4,0,0,0
201,10,4,51,15,31
202,1,4,0,0,0
203,1,4,0,0,0
204,15,4,99,30,59
205,2,4,0,0,0
206,10,4,46,14,28
207,2,4,0,0,0
208,0,4,0,0,0
209,8,4,31,9,19
210,2,4,0,0,0
211,4,4,0,0,0
212,7,4,20,6,12
213,14,4,89,27,53
214,3,4,0,0,0
215,7,4,23,7,14
216,2,4,0,0,0
217,5,4,0,0,0
218,4,4,0,0,0
219,4,4,0,0,0
220,4,4,0,0,0
221,8,4,26,8,16
222,4,4,0,0,0
223,4,4,0,0,0
224,7,4,24,7,14
225,2,4,0,0,0
226,7,4,18,5,11
227,1,4,0,0,0
228,6,4,5,2,3
229,2,4,0,0,0
