"test_id","adult_males","subadult_males","adult_females","juveniles","pups"
0,5,4,25,14,10
1,2,4,10,5,4
2,2,4,11,6,4
3,6,4,30,17,12
4,4,4,19,11,8
5,5,4,26,15,11
6,3,4,13,7,5
7,2,4,12,7,5
8,3,4,14,8,6
9,3,4,16,9,6
10,6,4,28,16,11
11,3,4,14,8,5
12,5,4,23,13,9
13,5,4,23,13,9
14,2,4,12,6,5
15,7,4,34,19,14
16,4,4,18,10,7
17,3,4,15,8,6
18,4,4,19,11,8
19,2,4,10,6,4
20,9,4,44,24,17
21,4,4,22,12,9
22,20,4,98,55,39
23,1,4,6,3,2
24,7,4,33,18,13
25,6,4,28,16,11
26,3,4,13,7,5
27,12,4,60,34,24
28,4,4,22,12,9
29,3,4,14,8,6
30,4,4,18,10,7
31,10,4,50,28,20
32,6,4,32,18,13
33,6,4,30,17,12
34,3,4,14,8,6
35,2,4,9,5,4
36,6,4,32,18,13
37,5,4,26,14,10
38,8,4,42,24,17
39,4,4,19,11,8
40,3,4,15,8,6
41,3,4,14,8,6
42,1,4,6,3,2
43,1,4,4,2,1
44,4,4,19,11,8
45,3,4,14,8,5
46,5,4,24,14,10
47,2,4,10,5,4
48,15,4,74,41,29
49,18,4,90,50,36
50,13,4,64,36,25
51,5,4,25,14,10
52,6,4,28,16,11
53,6,4,31,17,12
54,17,4,86,48,34
55,9,4,43,24,17
56,7,4,35,20,14
57,1,4,6,3,2
58,6,4,30,17,12
59,5,4,24,14,10
60,5,4,24,14,10
61,2,4,10,5,4
62,6,4,28,16,11
63,9,4,43,24,17
64,12,4,62,34,25
65,3,4,13,7,5
66,1,4,5,3,2
67,8,4,40,22,16
68,2,4,12,6,5
69,2,4,12,7,5
70,4,4,20,11,8
71,2,4,8,4,3
72,3,4,14,8,6
73,2,4,9,5,4
74,4,4,19,11,8
75,10,4,48,27,19
76,8,4,40,22,16
77,3,4,17,10,7
78,0,4,2,1,1
79,6,4,28,16,11
80,8,4,39,22,16
81,2,4,10,6,4
82,1,4,6,3,2
83,1,4,6,4,3
84,2,4,10,6,4
85,2,4,12,7,5
86,13,4,66,37,26
87,8,4,42,24,17
88,8,4,40,23,16
89,3,4,15,8,6
90,8,4,39,22,16
91,4,4,18,10,7
92,10,4,48,27,19
93,4,4,20,11,8
94,10,4,50,28,20
95,12,4,60,34,24
96,8,4,38,22,15
97,1,4,6,4,3
98,8,4,42,23,17
99,5,4,23,13,9
100,3,4,16,9,7
101,2,4,8,4,3
102,3,4,16,9,6
103,5,4,25,14,10
104,2,4,8,5,3
105,4,4,20,11,8
106,13,4,65,36,26
107,13,4,63,35,25
108,4,4,22,13,9
109,8,4,39,22,16
110,2,4,8,5,3
111,1,4,3,2,1
112,11,4,54,30,22
113,6,4,28,15,11
114,3,4,17,10,7
115,10,4,50,28,20
116,3,4,15,8,6
117,4,4,19,11,8
118,7,4,34,19,14
119,1,4,5,3,2
120,4,4,22,12,9
121,6,4,32,18,13
122,4,4,21,12,8
123,3,4,17,10,7
124,2,4,10,6,4
125,1,4,6,3,2
126,2,4,10,6,4
127,6,4,32,18,13
128,13,4,64,36,26
129,4,4,19,11,8
130,6,4,30,17,12
131,1,4,5,3,2
132,4,4,22,13,9
133,14,4,68,38,27
134,6,4,28,16,11
135,7,4,36,20,14
136,3,4,16,9,6
137,1,4,3,2,1
138,3,4,13,7,5
139,8,4,40,22,16
140,5,4,26,15,10
141,2,4,12,7,5
142,2,4,8,5,3
143,4,4,22,12,9
144,6,4,32,18,13
145,4,4,19,11,8
146,2,4,12,6,5
147,10,4,52,29,21
148,8,4,42,24,17
149,5,4,23,13,9
150,16,4,80,45,32
151,2,4,8,4,3
152,4,4,18,10,7
153,2,4,12,6,5
154,13,4,64,36,26
155,2,4,8,5,3
156,14,4,69,39,28
157,2,4,12,7,5
158,1,4,6,4,3
159,2,4,10,5,4
160,4,4,21,12,8
161,2,4,10,6,4
