"test_id","adult_males","subadult_males","adult_females","juveniles","pups"
0,2,2,18,13,3
1,2,1,2,5,1
2,2,1,2,2,2
3,0,2,2,0,1
4,2,4,4,2,2
5,4,5,19,8,6
6,0,0,2,1,0
7,1,2,2,1,0
8,2,3,9,6,2
9,2,4,3,2,2
10,6,8,17,8,4
11,6,5,8,3,2
12,2,4,12,7,4
13,1,1,3,4,1
14,1,2,2,0,1
15,9,6,58,30,20
16,3,3,18,10,6
17,2,4,3,2,2
18,2,1,4,2,2
19,2,4,11,8,3
20,14,12,66,24,27
21,2,3,10,6,2
22,18,10,138,88,54
23,1,2,4,0,7
24,14,9,74,26,34
25,4,2,22,10,4
26,2,3,3,2,2
27,13,8,92,36,42
28,2,3,16,10,3
29,1,1,2,2,1
30,4,2,14,10,6
31,14,8,81,42,48
32,6,10,20,12,10
33,1,0,4,2,2
34,2,3,6,5,2
35,2,1,2,2,2
36,8,6,59,28,12
37,8,14,32,18,6
38,14,12,82,44,26
39,3,2,10,8,5
40,5,8,17,12,9
41,1,0,1,1,1
42,1,0,1,1,0
43,2,2,6,0,7
44,4,4,12,4,6
45,4,6,19,26,12
46,6,5,28,10,8
47,1,2,2,2,1
48,20,13,126,31,93
49,22,12,172,45,113
50,21,14,129,100,78
51,6,5,43,24,18
52,2,3,18,4,2
53,6,12,22,11,10
54,27,16,150,51,100
55,12,6,66,16,38
56,12,9,76,27,16
57,1,1,1,0,2
58,7,10,16,10,10
59,6,6,20,9,12
60,0,0,2,0,2
61,2,2,6,2,2
62,10,7,74,28,26
63,14,12,128,40,45
64,12,10,90,64,24
65,2,2,3,1,2
66,2,4,4,3,4
67,10,6,40,10,21
68,1,1,4,2,0
69,2,2,4,6,2
70,0,0,2,0,1
71,1,0,4,1,1
72,2,2,15,14,4
73,2,1,2,2,2
74,4,2,10,8,6
75,16,7,72,45,58
76,8,10,60,32,14
77,3,4,16,8,4
78,1,1,1,0,0
79,5,6,20,12,10
80,18,10,108,28,62
81,0,0,4,0,0
82,1,2,0,0,2
83,2,4,6,0,10
84,0,2,2,0,5
85,3,3,22,26,4
86,17,10,113,32,68
87,8,6,47,22,14
88,8,8,56,22,16
89,5,4,22,10,9
90,10,6,56,20,31
91,4,4,14,12,4
92,12,7,72,32,29
93,3,0,12,10,9
94,12,8,93,30,40
95,18,10,98,28,64
96,12,8,62,24,27
97,1,1,4,0,6
98,4,4,14,10,10
99,2,2,6,6,2
100,5,6,14,6,6
101,1,2,6,1,2
102,2,2,8,4,4
103,4,4,24,15,6
104,2,4,2,2,2
105,8,7,43,38,9
106,21,12,98,36,61
