"test_id","adult_males","subadult_males","adult_females","juveniles","pups"
0,2,2,14,13,2
1,2,2,3,2,1
2,2,1,2,1,1
3,0,0,2,0,2
4,2,3,2,2,2
5,4,4,20,10,6
6,0,0,2,0,0
7,1,4,2,1,0
8,2,2,8,6,2
9,2,4,3,2,2
10,6,7,17,8,4
11,6,6,8,3,2
12,3,4,10,9,4
13,1,1,3,2,1
14,1,0,2,0,1
15,10,5,61,25,20
16,4,2,21,12,5
17,2,2,3,2,2
18,2,1,4,2,2
19,2,3,10,8,3
20,12,12,70,20,26
21,1,2,12,6,2
22,17,10,134,146,50
23,2,2,7,0,6
24,11,8,36,23,26
25,4,2,18,9,3
26,2,2,4,2,2
27,12,10,90,46,44
28,2,3,15,12,2
29,2,1,2,1,2
30,4,1,15,11,4
31,12,8,76,40,40
32,6,8,16,11,8
33,1,1,4,3,2
34,2,4,7,8,2
35,2,1,2,2,2
36,8,6,65,24,14
37,8,8,27,16,10
38,14,12,86,42,44
39,2,3,10,14,5
40,4,6,16,14,8
41,0,0,2,2,1
42,1,0,1,1,0
43,2,1,8,0,6
44,4,4,10,4,4
45,4,6,20,24,6
46,5,4,23,14,10
47,1,2,2,2,1
48,19,13,117,30,78
49,24,12,166,55,86
50,21,12,137,112,75
51,6,4,44,18,14
52,3,4,12,6,3
53,5,9,18,14,10
54,23,17,128,71,74
55,12,6,61,16,38
56,12,10,77,25,22
57,1,0,1,0,0
58,6,9,17,14,10
59,6,6,22,8,10
60,0,0,3,0,0
61,2,2,6,2,2
62,10,5,70,24,22
63,16,12,111,44,40
64,11,12,94,52,22
65,2,2,2,1,2
66,2,6,6,3,5
67,10,7,41,14,18
68,0,0,4,1,1
69,2,2,4,7,2
70,0,0,1,0,1
71,1,2,4,2,0
72,2,2,13,12,4
73,2,0,2,2,2
74,4,3,8,8,4
75,16,10,74,32,52
76,8,9,62,30,14
77,3,4,19,12,4
78,1,0,2,0,0
79,4,6,20,12,6
80,19,10,108,28,62
81,0,0,2,0,2
82,0,2,0,0,2
83,2,2,9,0,12
84,1,2,6,0,4
85,4,2,22,26,4
86,16,10,108,30,66
87,8,6,49,19,12
88,10,8,54,22,14
89,4,6,18,14,8
90,9,4,56,20,26
91,3,4,14,10,4
92,10,8,67,24,24
93,3,2,8,7,8
94,12,9,90,36,28
95,18,10,96,30,60
96,11,8,54,30,27
97,2,2,7,2,6
98,3,5,13,10,4
99,2,2,6,5,2
100,4,6,12,6,6
101,1,2,3,3,1
102,1,2,6,5,2
103,4,6,26,16,8
104,1,2,3,2,2
105,8,7,46,32,11
106,18,12,81,32,62
107,20,10,113,30,62
108,4,5,16,10,6
109,10,8,46,19,30
110,3,4,4,4,3
111,1,2,9,1,4
112,18,12,140,64,80
113,1,1,1,0,1
114,4,2,5,2,2
115,19,10,108,42,50
116,0,0,1,2,1
117,4,6,4,3,4
118,8,4,45,10,23
119,2,0,3,2,2
120,2,4,10,10,4
121,5,6,19,17,5
122,5,4,11,4,4
123,3,4,22,24,7
124,2,4,6,3,1
125,0,0,1,1,0
126,2,1,2,2,1
127,11,8,78,46,31
128,12,9,88,38,23
129,4,2,16,16,4
130,6,7,35,20,14
131,0,0,2,0,0
132,4,8,32,11,17
133,18,8,104,45,62
134,2,3,4,4,2
135,10,10,66,22,24
136,2,2,12,8,2
137,1,0,2,2,0
138,2,2,4,5,2
139,12,10,69,25,29
140,2,2,2,3,1
141,2,3,8,6,3
142,0,1,0,1,0
143,4,4,18,13,6
144,4,4,18,16,6
145,4,6,24,14,8
146,0,2,2,2,2
147,7,6,44,20,10
148,13,9,54,17,25
149,8,5,42,12,20
150,23,14,126,50,64
151,2,1,4,2,1
152,0,0,1,0,0
153,3,2,5,2,2
154,4,2,18,10,4
155,2,1,4,1,1
156,6,8,30,16,10
157,0,0,3,0,0
158,1,2,0,0,0
159,2,2,3,6,2
160,2,4,11,10,4
161,2,1,4,4,1
162,22,12,102,38,73
163,41,20,342,97,182
164,4,4,16,10,4
165,2,1,4,6,0
166,10,8,42,18,18
167,2,4,13,10,2
168,2,4,2,2,2
169,7,6,38,18,12
170,5,6,23,14,8
171,4,2,9,6,6
172,10,8,90,55,25
173,3,3,4,4,2
174,2,1,4,2,1
175,16,10,110,39,40
176,18,12,84,34,62
177,2,1,10,14,2
178,2,4,8,13,4
179,25,14,190,76,116
180,2,2,4,4,2
181,4,2,22,20,4
182,2,2,13,8,4
183,4,6,9,5,4
184,1,4,4,2,2
185,11,6,48,16,22
186,20,12,126,40,74
187,0,1,0,0,0
188,6,2,26,14,11
189,4,2,18,12,4
190,5,5,18,6,8
191,4,5,9,5,4
192,4,4,18,19,8
193,0,0,1,1,0
194,8,8,52,22,14
195,1,1,1,1,0
196,2,2,6,0,5
197,2,2,7,0,6
198,3,7,12,10,5
199,4,9,19,8,10
200,2,4,8,7,4
201,18,8,104,48,32
202,1,4,2,2,0
203,0,0,1,5,1
204,21,12,108,38,56
205,3,2,18,12,4
206,8,6,37,16,24
207,2,2,3,6,2
208,0,1,0,4,0
209,3,3,6,4,5
210,2,2,4,2,2
211,3,4,15,10,4
212,6,6,25,24,10
213,2,3,11,10,3
214,5,3,34,31,6
215,2,2,7,3,2
216,0,2,2,4,0
217,4,5,12,8,4
218,2,2,8,6,3
219,2,2,6,4,2
220,4,4,8,4,2
221,10,6,50,16,24
222,2,6,12,14,4
223,3,4,13,8,6
224,8,10,43,11,26
225,1,2,3,2,4
226,5,4,31,21,7
227,0,0,1,0,1
228,8,3,52,24,19
229,0,0,2,2,0
230,10,11,40,26,21
231,3,4,16,6,4
232,0,0,4,2,0
233,2,0,4,4,1
234,10,5,62,22,20
235,14,10,74,26,52
236,6,10,24,14,15
237,2,1,11,14,2
238,4,4,22,12,8
239,5,2,8,4,6
240,16,10,96,34,52
241,4,4,13,6,4
242,1,2,4,2,4
243,2,2,4,5,2
244,1,0,2,3,1
245,9,8,64,29,26
246,10,8,48,17,21
247,10,6,39,11,24
248,1,0,0,1,0
249,6,6,16,10,10
250,3,1,19,20,4
251,7,6,21,22,14
252,4,4,21,14,6
253,12,8,40,12,12
254,2,2,2,2,2
255,6,6,38,34,6
256,2,4,4,2,1
257,2,2,4,2,2
258,4,8,12,20,10
259,20,10,104,30,69
260,2,3,12,14,2
261,0,0,2,0,0
262,2,4,6,5,2
263,1,2,7,6,2
264,3,2,14,13,3
265,5,4,8,8,2
266,12,10,74,38,38
267,8,8,31,18,18
268,6,6,28,25,12
269,14,14,76,29,68
270,2,0,1,0,0
271,16,10,109,36,55
272,1,2,6,8,2
273,24,15,160,94,95
274,4,5,18,10,12
275,22,14,106,65,86
276,0,2,2,2,0
277,0,2,1,2,0
278,2,2,5,2,2
279,12,8,64,26,28
280,10,8,72,50,34
281,7,6,32,11,16
282,2,2,3,2,1
283,1,2,2,2,1
284,14,10,98,30,40
285,6,5,48,23,12
286,10,7,54,22,28
287,2,2,4,2,2
288,2,2,5,2,1
289,11,8,77,33,24
290,0,0,4,1,0
291,2,2,4,4,2
292,9,9,42,20,33
293,2,2,8,2,2
294,1,2,2,3,2
295,17,11,92,32,58
296,6,4,38,41,8
297,1,0,1,2,2
298,2,4,8,14,4
299,1,2,4,6,2
300,20,12,119,48,84
301,5,6,34,29,6
302,10,11,58,16,28
303,12,10,91,80,40
304,12,6,36,18,25
305,0,3,1,1,0
306,33,20,202,69,154
307,2,2,8,9,2
308,1,1,3,2,0
309,2,0,1,0,2
310,3,4,7,4,4
311,2,2,2,2,1
312,2,2,4,3,2
313,12,10,73,18,28
314,1,1,2,4,1
315,10,9,24,25,14
316,10,6,50,18,15
317,9,8,52,16,20
318,8,5,48,22,20
319,4,4,12,8,4
320,2,2,8,9,2
321,2,2,12,8,2
322,34,20,253,74,120
323,3,2,6,4,3
324,2,2,4,2,1
325,1,2,1,0,1
326,1,3,9,2,4
327,2,4,3,4,2
328,0,2,1,2,0
329,2,2,5,2,2
330,6,6,40,44,8
331,6,5,30,16,24
332,3,4,8,6,4
333,5,5,16,7,6
334,1,1,4,4,2
335,4,4,13,10,5
336,0,1,0,0,0
337,22,10,104,43,70
338,3,5,8,9,5
339,1,0,1,2,2
340,0,3,2,2,1
341,22,12,122,109,95
342,0,0,1,1,0
343,2,2,7,4,4
344,13,14,51,30,16
345,0,1,1,2,1
346,2,1,5,2,2
347,4,2,22,12,6
348,3,0,3,0,1
349,4,4,14,7,6
350,4,3,26,16,6
351,6,8,36,12,13
352,2,5,8,10,4
353,2,2,6,5,4
354,20,14,134,90,60
355,6,9,27,11,19
356,2,2,10,12,2
357,11,7,60,24,20
358,1,2,2,2,0
359,2,4,8,10,3
360,16,12,114,36,54
361,26,16,166,64,92
362,6,6,41,26,8
363,1,2,3,4,2
364,6,6,32,30,9
365,0,2,2,2,0
366,1,0,4,2,1
367,2,4,2,2,2
368,4,2,8,6,5
369,0,0,2,0,0
370,8,2,17,10,7
371,2,2,8,0,6
372,2,1,2,2,2
373,4,4,16,8,8
374,1,2,3,2,1
375,2,2,2,4,2
376,16,10,82,42,63
377,2,0,1,3,1
378,2,1,4,3,2
379,1,2,4,2,4
380,2,3,9,8,2
381,4,4,19,16,6
382,1,2,4,4,2
383,4,3,8,3,2
384,2,2,6,0,4
385,2,4,6,3,2
386,2,5,6,4,3
387,3,2,14,9,4
388,2,2,4,2,0
389,20,8,108,28,67
390,7,12,66,29,8
391,8,10,30,11,18
392,6,4,24,19,17
393,2,1,2,1,1
394,12,8,92,30,30
395,3,4,5,2,3
396,4,6,16,11,8
397,7,4,34,26,10
398,10,12,42,25,14
399,3,3,6,2,4
400,0,0,1,2,0
401,2,2,6,8,2
402,16,12,78,34,42
403,2,3,12,12,4
404,1,4,2,4,1
405,2,2,7,4,2
406,6,4,26,8,12
407,2,3,5,4,2
408,4,5,28,16,9
409,10,8,41,22,19
410,5,6,18,10,7
411,4,6,12,4,6
412,2,2,8,2,2
413,12,7,78,57,34
414,6,4,18,11,6
415,2,2,2,2,2
416,2,2,4,2,2
417,19,12,112,48,59
418,1,1,4,2,1
419,4,3,22,12,5
420,6,6,33,24,13
421,3,0,6,4,2
422,2,2,11,10,2
423,2,3,6,0,4
424,1,2,6,5,2
425,10,8,47,24,24
426,18,10,100,37,63
427,8,6,40,22,20
428,2,2,16,10,5
429,2,2,3,2,2
430,8,10,53,26,28
431,10,6,62,42,28
432,2,2,6,6,2
433,8,6,26,12,20
434,13,8,76,46,36
435,14,8,76,36,38
436,1,2,4,1,1
437,1,2,4,2,4
438,4,4,10,6,4
439,2,3,14,10,2
440,2,2,10,10,2
441,2,2,6,2,4
442,20,12,119,40,80
443,4,3,26,20,8
444,1,1,1,2,2
445,4,3,22,16,7
446,2,2,7,0,6
447,10,8,46,22,20
448,2,3,14,10,4
449,4,2,10,7,4
450,5,4,8,4,4
451,2,2,2,4,1
452,6,8,12,5,4
453,0,0,1,1,0
454,8,4,51,18,22
455,1,2,3,2,1
456,6,4,24,12,14
457,1,0,4,6,0
