"test_id","adult_males","subadult_males","adult_females","juveniles","pups"
0,2,2,21,18,1
1,3,1,1,8,0
2,2,1,0,1,4
3,1,3,1,0,1
4,4,7,2,1,3
5,5,7,18,5,5
6,1,1,1,1,0
7,1,3,0,0,0
8,3,5,9,7,0
9,3,6,0,0,1
10,8,14,16,5,2
11,9,8,7,0,0
12,3,5,12,6,4
13,1,1,0,3,0
14,2,3,3,0,1
15,10,6,75,34,23
16,3,3,20,11,7
17,2,6,0,0,3
18,2,1,0,0,1
19,2,5,10,8,1
20,18,16,81,16,33
21,2,5,12,8,0
22,17,4,180,119,69
23,2,4,7,1,14
24,22,13,114,32,55
25,4,3,29,13,2
26,3,5,0,0,1
27,13,6,118,32,59
28,2,4,19,12,1
29,1,1,0,3,1
30,4,2,12,11,5
31,14,4,96,44,70
32,6,15,16,8,9
33,1,0,2,0,0
34,3,4,2,4,0
35,3,1,0,0,1
36,10,5,83,36,9
37,11,24,37,20,0
38,16,15,104,51,28
39,4,3,9,9,5
40,6,12,16,13,11
41,2,0,0,0,1
42,2,0,0,0,0
43,4,3,12,0,14
44,4,7,9,0,7
45,3,8,18,41,15
46,7,6,34,7,8
47,1,2,0,1,0
48,24,12,167,10,151
49,21,5,227,19,179
50,21,10,152,137,113
51,6,5,52,27,22
52,3,4,23,0,0
53,7,19,19,8,9
54,31,14,186,34,153
55,13,5,80,0,55
56,14,11,107,27,13
57,2,2,0,0,2
58,9,16,9,7,12
59,7,10,18,5,16
60,1,1,1,0,2
61,2,4,6,0,1
62,11,7,105,31,34
63,14,11,183,36,61
64,12,11,119,92,24
65,2,3,3,0,2
66,5,7,7,6,7
67,12,8,47,0,29
68,2,2,5,2,0
69,3,4,0,7,0
70,1,0,1,0,1
71,1,1,6,0,1
72,2,2,16,19,2
73,3,1,0,0,1
74,5,3,5,6,5
75,18,3,76,49,88
76,8,12,75,37,10
77,3,5,16,6,3
78,2,2,0,0,0
79,6,9,23,14,12
80,21,7,141,10,94
81,1,1,5,0,0
82,2,5,0,1,4
83,3,9,13,0,20
84,1,3,5,0,10
85,2,3,27,42,1
86,19,8,152,20,105
87,9,6,59,23,15
88,8,9,75,21,18
89,7,6,29,11,11
90,12,4,66,13,43
91,4,7,15,15,3
92,13,6,91,33,37
93,5,0,16,17,15
94,11,6,120,21,54
95,20,8,121,11,96
96,14,8,76,20,35
97,2,2,8,0,12
98,5,7,15,13,16
99,2,2,0,4,0
100,7,11,12,2,6
101,1,2,7,0,1
102,2,3,8,5,5
103,5,5,27,16,3
104,2,6,0,2,2
105,10,9,52,56,4
106,27,12,123,29,92
107,23,6,169,27,99
108,4,6,27,13,15
109,9,10,60,9,46
110,4,3,3,0,1
111,2,5,0,2,7
112,21,14,195,56,113
113,2,4,1,0,0
114,4,2,4,0,3
115,20,6,164,31,57
116,2,2,2,0,0
117,8,10,21,5,24
118,11,6,53,0,39
119,3,2,1,1,2
120,3,6,14,15,1
121,8,7,15,25,0
122,7,6,8,2,2
123,3,7,30,45,8
124,1,4,8,4,0
125,2,1,1,1,1
126,1,1,2,1,0
127,13,6,113,37,45
128,12,9,70,30,27
129,5,3,23,15,2
130,6,8,57,27,21
131,0,2,0,1,0
132,5,9,40,8,25
133,19,2,121,33,86
134,2,4,10,5,3
135,13,12,97,14,31
136,2,2,16,12,2
137,1,0,1,0,2
138,2,3,3,6,0
139,14,11,99,29,55
140,2,3,1,4,0
141,2,4,9,5,2
142,1,2,0,4,0
143,4,6,9,11,2
144,5,8,32,17,11
145,4,7,35,19,8
146,0,3,0,1,6
147,7,9,56,21,12
148,15,12,73,15,27
149,10,7,58,15,41
150,27,10,182,28,119
151,3,2,3,3,0
152,1,0,0,1,0
153,3,4,5,0,2
154,3,3,22,11,3
155,2,2,3,3,0
156,7,11,27,15,10
157,1,0,3,8,0
158,1,1,0,0,1
159,2,3,0,1,0
160,4,4,15,7,3
161,2,1,5,3,2
162,29,16,216,38,183
163,41,13,439,84,204
164,4,6,22,9,5
165,2,2,7,1,1
166,13,13,52,10,22
167,2,4,15,15,1
168,3,5,4,0,0
169,7,8,50,11,13
170,6,7,23,18,8
171,3,4,8,6,8
172,9,5,106,83,34
173,4,6,0,2,1
174,3,3,1,0,1
175,15,13,113,39,75
176,24,14,112,37,98
177,5,0,18,17,1
178,1,4,1,6,5
179,25,11,333,74,208
180,1,2,1,4,0
181,2,2,26,31,2
182,3,2,6,3,1
183,6,12,8,6,7
184,1,4,0,0,1
185,13,5,55,10,30
186,24,9,174,20,96
187,1,2,1,0,0
188,9,2,39,9,15
189,3,4,21,18,1
190,6,8,20,2,12
191,7,6,7,2,5
192,4,6,20,23,8
