"test_id","adult_males","subadult_males","adult_females","juveniles","pups"
0,2,2,20,14,2
1,2,2,2,1,1
2,1,0,2,2,1
3,0,1,4,0,1
4,2,1,3,4,1
5,4,2,20,10,8
6,0,1,2,1,0
7,1,2,2,1,1
8,2,4,8,6,2
9,1,2,4,2,2
10,5,6,17,6,6
11,4,6,7,3,2
12,3,4,10,6,4
13,1,1,4,3,1
14,0,0,4,0,1
15,9,6,51,28,22
16,4,2,20,12,4
17,1,0,4,2,2
18,2,2,5,2,2
19,2,4,10,10,2
20,11,9,63,18,28
21,2,2,8,6,2
22,18,10,134,76,34
23,2,2,4,0,7
24,9,4,38,18,19
25,3,2,19,12,3
26,2,2,4,2,2
27,12,10,85,30,56
28,2,3,16,12,2
29,1,2,3,2,2
30,4,1,14,8,6
31,12,8,81,48,36
32,6,6,19,9,8
33,2,1,4,2,2
34,2,4,7,4,2
35,2,1,2,2,1
36,8,6,56,28,12
37,7,12,30,14,12
38,14,14,90,36,36
39,2,2,14,12,4
40,4,6,18,15,8
41,1,0,1,1,0
42,0,0,1,1,0
43,2,1,4,1,6
44,4,2,10,4,4
45,4,3,24,24,5
46,4,2,26,20,8
47,1,2,2,2,1
48,20,12,112,34,76
49,22,14,148,67,98
50,22,14,133,74,86
51,6,4,46,26,16
52,2,2,16,5,3
53,6,6,18,10,6
54,25,17,108,54,60
55,10,9,61,18,34
56,8,6,72,38,14
57,0,1,1,0,0
58,4,5,21,12,6
59,6,6,20,12,12
60,0,0,2,0,1
61,2,2,6,2,2
62,8,6,56,32,16
63,14,14,102,42,32
64,11,9,102,38,23
65,0,0,2,1,0
66,2,4,2,0,7
67,10,8,36,16,18
68,0,0,3,1,1
69,2,2,6,6,2
70,0,0,2,1,1
71,0,2,6,1,1
72,2,2,14,12,4
73,2,0,2,2,2
74,4,2,10,6,5
75,15,9,84,28,48
76,8,8,54,34,20
77,3,3,17,10,4
78,1,0,2,0,0
79,4,3,19,11,8
80,17,10,113,40,42
81,0,0,3,2,2
82,0,2,1,0,0
83,1,2,10,0,18
84,1,1,3,0,5
85,4,2,21,30,4
86,16,8,94,36,56
87,8,6,45,32,11
88,9,6,46,34,16
89,4,2,18,12,6
90,10,9,56,20,26
91,4,4,15,8,4
92,9,8,60,30,23
93,2,1,9,2,5
94,12,8,82,37,36
95,16,10,95,34,42
96,10,10,50,23,30
97,2,2,4,2,6
98,2,4,14,10,3
99,2,2,6,6,2
100,4,5,16,6,6
101,0,1,3,2,1
102,1,2,6,4,2
103,4,5,24,14,8
104,2,3,4,2,3
105,8,6,42,28,9
106,16,12,86,33,54
107,19,12,108,34,51
108,3,4,16,8,4
109,10,8,48,18,30
110,3,3,5,2,4
111,0,2,4,2,4
112,18,13,134,45,78
113,0,0,2,2,0
114,2,1,6,4,2
115,16,10,123,44,34
116,0,0,2,2,0
117,2,2,7,2,2
118,7,2,40,15,26
119,2,2,3,2,2
120,2,3,12,12,2
121,4,5,20,18,8
122,4,3,10,6,4
123,2,3,25,24,6
124,2,4,5,2,2
125,0,0,2,1,0
126,1,2,3,2,1
127,10,6,104,56,14
128,12,8,77,41,34
129,3,1,18,18,4
130,5,4,35,18,13
131,0,0,1,0,1
132,5,7,28,10,18
133,18,9,94,42,55
134,0,2,6,2,2
135,12,10,61,22,28
136,2,2,12,6,3
137,1,0,2,2,0
138,2,3,6,4,2
139,10,10,61,22,26
140,2,2,2,4,1
141,2,4,8,6,2
142,0,0,0,0,0
143,4,4,16,16,4
144,3,2,18,15,3
145,4,6,24,14,10
146,0,0,2,1,2
147,7,6,41,26,8
148,12,8,57,20,28
149,6,4,40,22,18
150,24,14,115,58,60
151,2,2,4,2,3
152,0,0,3,0,0
153,2,2,2,2,6
154,4,2,18,8,4
155,1,2,4,1,0
156,6,10,33,19,14
157,0,0,1,2,0
158,0,2,0,0,0
159,1,2,4,4,1
160,2,4,8,6,3
161,2,1,4,4,1
162,16,12,96,41,59
163,40,22,301,70,165
164,3,3,17,12,4
165,1,2,2,1,0
166,10,7,44,24,21
167,2,2,11,10,2
168,2,2,2,2,4
169,6,6,38,22,11
170,5,6,22,21,10
171,2,2,10,6,3
172,10,7,55,42,28
173,3,4,5,2,2
174,2,1,4,2,2
175,16,10,92,42,55
176,18,16,94,33,58
177,3,2,12,11,2
178,2,2,8,15,4
179,22,14,206,105,58
180,1,1,5,6,2
181,3,2,24,23,4
182,2,2,10,7,2
183,3,3,10,7,3
184,0,1,4,2,1
185,11,10,52,16,28
186,20,14,114,52,74
187,0,0,2,0,0
188,6,4,26,16,9
189,2,2,17,14,4
190,5,4,20,8,8
191,4,4,8,4,4
192,4,4,19,16,8
193,0,1,1,2,0
194,6,6,53,31,7
195,0,0,1,2,0
196,2,2,4,0,5
197,2,2,4,0,7
198,3,4,10,7,4
199,5,10,18,7,8
200,2,4,8,5,3
201,18,10,94,50,32
202,1,2,2,1,0
203,0,1,1,8,0
204,20,13,100,38,54
205,2,1,18,12,4
206,9,9,38,20,22
207,2,2,4,4,1
208,0,0,0,2,0
209,2,2,6,4,2
210,1,2,4,2,3
211,2,2,13,11,4
212,6,6,24,18,10
213,3,4,8,8,2
214,4,4,35,34,8
215,2,2,5,3,2
216,0,1,2,2,0
217,4,6,12,8,4
218,2,2,8,8,3
219,1,1,6,5,2
220,3,3,8,3,2
221,12,6,52,20,28
222,2,4,10,13,3
223,4,2,12,6,5
224,8,10,42,12,20
225,1,1,4,2,2
226,4,2,28,26,6
227,0,0,2,0,0
228,8,3,55,38,20
229,0,0,4,1,0
230,10,12,42,34,17
231,2,2,16,6,3
232,0,0,2,0,0
233,2,2,4,4,1
234,9,5,52,26,22
235,13,9,72,30,40
236,8,10,27,14,12
237,2,2,12,12,2
238,4,4,20,12,8
239,4,2,10,6,4
240,14,14,100,28,58
241,4,2,12,8,4
242,0,2,3,2,6
243,2,2,4,4,2
244,1,1,3,2,0
245,10,6,74,32,20
246,11,6,48,18,27
247,8,4,39,13,24
248,0,1,0,0,0
249,4,3,21,16,5
250,3,1,20,17,4
251,6,2,24,11,13
252,4,4,20,22,6
253,12,5,48,15,20
254,2,2,2,4,1
255,5,6,44,31,6
256,2,2,4,4,1
257,1,1,2,2,2
258,4,6,18,15,8
259,19,9,104,37,61
260,2,2,14,15,2
261,0,0,2,0,0
262,2,3,7,4,2
263,1,2,7,6,2
264,3,2,14,10,6
265,4,2,7,4,2
266,10,9,66,26,34
267,8,10,32,17,14
268,6,3,30,20,13
269,13,11,80,26,56
270,0,0,1,0,0
271,16,12,100,34,40
272,1,2,6,6,2
273,21,14,144,56,92
274,5,2,19,10,7
275,20,17,122,54,77
276,0,2,1,2,0
277,1,0,2,1,1
278,2,2,6,6,2
279,11,7,62,28,32
280,10,9,69,44,22
281,6,6,32,17,12
282,2,2,3,2,1
283,2,2,2,2,0
284,15,11,90,33,40
285,6,4,44,26,14
286,10,7,50,26,32
287,2,2,5,2,2
288,2,2,4,2,1
289,10,9,66,34,29
290,0,0,4,0,0
291,2,1,4,5,2
292,10,10,46,26,28
293,2,2,8,2,2
294,0,1,2,4,1
295,15,10,96,38,47
296,6,4,38,31,6
297,1,0,2,0,1
298,2,2,12,13,2
299,1,1,6,7,2
300,18,12,112,32,76
301,5,5,36,31,6
302,10,10,56,19,27
303,14,10,93,36,37
304,10,6,45,16,26
305,0,2,2,1,0
306,30,23,192,85,126
307,2,0,8,8,2
308,1,0,6,1,0
309,1,0,2,0,2
310,2,1,6,4,2
311,2,2,4,2,1
312,2,2,4,3,2
313,12,12,64,22,35
314,1,1,2,2,2
315,10,4,30,18,16
316,10,4,47,24,14
317,7,7,52,36,16
318,7,4,58,42,13
319,4,3,11,4,4
320,2,3,8,8,2
321,2,2,12,8,2
322,36,19,234,62,118
323,2,2,7,4,3
324,2,2,3,2,2
325,1,2,2,0,0
326,1,2,4,2,4
