"test_id","adult_males","subadult_males","adult_females","juveniles","pups"
0,3,2,24,12,1
1,2,1,2,3,0
2,3,3,0,0,3
3,1,0,0,0,1
4,2,1,0,3,3
5,5,4,24,6,4
6,1,4,7,0,2
7,1,4,0,0,4
8,2,4,7,4,2
9,1,2,0,0,0
10,4,5,20,19,3
11,6,4,3,15,0
12,3,4,5,11,2
13,3,4,0,0,2
14,1,4,1,0,4
15,10,2,57,24,36
16,5,4,20,3,4
17,2,2,0,0,4
18,1,1,1,1,2
19,1,3,9,7,1
20,7,6,100,51,24
21,3,5,14,12,0
22,18,5,178,156,110
23,4,4,7,0,12
24,9,13,26,33,13
25,3,5,20,14,0
26,2,2,1,0,0
27,12,9,159,86,46
28,4,7,11,5,0
29,2,1,1,0,5
30,4,1,13,7,1
31,16,4,85,13,87
32,6,14,22,6,11
33,0,0,5,1,2
34,3,4,6,6,0
35,2,1,0,0,0
36,10,6,81,26,15
37,7,14,31,14,6
38,15,18,112,34,39
39,3,4,7,17,2
40,8,4,11,14,7
41,3,1,0,3,3
42,2,0,0,0,1
43,4,2,9,0,13
44,2,5,7,2,5
45,5,10,16,20,4
46,6,8,23,10,4
47,1,4,0,1,0
48,23,12,127,12,121
49,18,6,195,66,106
50,20,9,156,148,105
51,6,6,54,20,9
52,1,4,11,9,0
53,2,6,10,7,4
54,23,15,103,219,62
55,10,12,65,29,39
56,11,10,84,21,24
57,3,2,0,0,0
58,3,9,9,13,9
59,7,6,24,10,5
60,1,1,2,10,0
61,1,2,6,0,0
62,9,2,71,47,25
63,14,16,130,54,26
64,9,14,129,96,29
65,3,3,0,0,0
66,7,8,4,0,9
67,8,8,47,34,10
68,1,2,5,2,1
69,1,2,1,11,0
70,3,0,0,0,1
71,0,3,6,5,0
72,2,2,11,14,4
73,3,0,0,0,0
74,4,2,6,11,7
75,14,10,97,0,82
76,6,12,58,32,0
77,4,5,22,14,4
78,2,3,3,0,3
79,5,4,26,18,7
80,22,6,144,16,61
81,1,0,0,0,0
82,2,6,0,5,6
83,1,5,14,0,17
84,2,0,0,0,4
85,2,2,21,28,4
86,18,13,105,27,102
87,6,12,61,13,11
88,13,10,59,34,23
89,4,4,25,12,6
90,11,6,74,14,42
91,2,5,12,23,1
92,9,7,85,18,22
93,3,0,29,2,15
94,9,10,88,29,25
95,19,13,137,7,63
96,10,11,63,34,52
97,4,4,10,7,12
98,2,5,7,14,0
99,1,2,3,9,2
100,4,6,17,2,1
101,0,0,0,10,1
102,3,4,4,1,2
103,6,4,16,5,10
104,2,3,0,0,3
105,10,5,45,51,5
106,19,18,92,36,89
107,23,9,122,18,69
108,4,3,30,8,3
109,9,12,35,19,32
110,4,4,2,0,5
111,1,2,1,0,9
112,19,17,199,23,120
113,2,5,0,0,0
114,4,0,2,0,1
115,22,7,111,42,59
116,1,1,0,0,2
117,2,3,6,10,4
118,8,4,54,20,23
119,2,4,2,3,5
120,2,5,6,19,0
121,2,10,25,24,6
122,5,6,11,5,0
123,2,5,21,45,0
124,0,3,9,7,0
125,1,1,1,3,3
126,2,2,0,1,0
127,9,9,107,50,39
128,9,13,73,42,23
129,5,4,13,8,0
130,6,13,36,16,9
131,0,0,10,10,0
132,4,7,41,25,11
133,18,3,109,72,61
134,1,6,2,13,0
135,15,16,83,10,29
136,3,1,8,1,3
137,2,0,1,0,1
138,5,6,0,2,3
139,13,11,84,9,26
140,3,3,7,0,0
141,2,4,3,0,0
142,1,2,0,2,0
143,5,5,16,12,2
144,3,1,19,13,2
145,5,11,23,13,8
146,1,4,2,2,4
147,6,5,60,22,4
148,13,15,83,1,26
149,7,3,41,13,16
150,24,15,135,73,51
151,2,3,0,15,1
152,1,0,0,0,0
153,4,3,0,0,7
154,4,3,20,11,1
155,1,1,1,3,1
156,6,11,28,55,5
157,1,2,4,14,0
158,1,6,0,1,5
159,2,3,1,1,1
160,3,3,10,9,3
161,1,0,3,4,0
162,24,12,111,31,91
163,44,9,468,42,259
164,4,5,16,21,1
165,1,2,7,0,1
166,10,15,68,25,19
167,4,3,8,9,1
168,3,2,0,0,9
169,6,4,40,18,3
170,7,14,18,3,14
171,1,0,4,5,3
172,5,4,131,146,9
173,3,4,2,6,1
174,3,1,4,0,0
175,17,8,141,44,52
176,21,11,89,70,86
177,3,3,8,14,5
178,1,3,10,16,4
179,19,6,207,82,136
180,3,3,0,5,1
181,4,3,23,14,8
182,3,2,8,12,0
183,2,5,6,11,4
184,2,2,0,0,1
185,11,8,69,31,28
186,21,13,149,19,124
187,1,2,1,3,3
188,7,4,33,18,7
189,4,5,22,15,6
190,6,8,23,7,8
191,5,1,16,2,3
192,3,1,23,36,4
193,2,2,0,0,1
194,9,12,51,30,18
195,0,0,0,6,0
196,4,3,7,0,11
197,3,3,0,0,8
198,4,2,7,5,3
199,6,6,21,18,3
200,3,7,5,7,4
201,22,3,119,35,53
202,2,5,0,1,0
203,3,3,0,9,0
204,27,12,119,35,51
205,3,0,14,9,6
206,9,6,68,7,39
207,3,1,0,12,0
