"test_id","adult_males","subadult_males","adult_females","juveniles","pups"
0,2,1,16,12,3
1,0,0,2,1,1
2,0,0,2,1,0
3,0,0,1,0,0
4,0,1,4,2,1
5,6,5,16,8,7
6,0,0,2,1,0
7,0,0,2,1,0
8,2,2,8,6,3
9,1,0,4,2,2
10,4,3,16,7,10
11,3,3,9,3,5
12,2,2,13,8,6
13,0,0,3,2,1
14,0,0,1,0,0
15,8,6,47,31,16
16,2,2,18,14,6
17,1,1,4,2,1
18,1,0,4,2,2
19,2,2,14,7,4
20,12,8,54,22,29
21,2,2,11,8,4
22,14,12,134,93,32
23,0,0,0,0,0
24,7,8,34,18,14
25,3,3,15,10,4
26,1,2,4,2,2
27,12,8,82,52,34
28,2,3,14,12,2
29,0,0,2,1,1
30,2,1,14,8,6
31,12,7,86,34,45
32,6,4,22,9,12
33,0,0,3,2,2
34,2,2,8,4,4
35,0,0,2,2,2
36,6,6,46,39,8
37,5,3,35,10,26
38,11,8,88,55,32
39,2,2,10,7,4
40,4,4,19,10,8
41,0,0,1,1,0
42,0,0,1,1,0
43,0,0,0,0,0
44,4,2,10,6,4
45,4,2,24,17,6
46,4,4,25,14,10
47,1,1,4,2,2
48,18,13,111,38,68
49,24,19,144,58,92
50,22,14,159,52,96
51,6,4,42,24,18
52,2,2,12,7,3
53,4,2,22,14,10
54,23,18,152,70,70
55,10,7,57,18,38
56,7,6,56,43,14
57,0,0,1,0,0
58,4,3,18,11,6
59,5,4,24,8,12
60,0,0,1,0,0
61,1,1,6,2,2
62,7,5,60,33,30
63,14,11,116,39,54
64,11,10,76,48,21
65,0,0,2,1,0
66,0,0,0,0,0
67,6,4,34,16,12
68,0,0,1,1,0
69,2,2,6,4,2
70,0,0,1,0,0
71,0,0,2,2,0
72,2,2,15,11,3
73,0,0,2,2,1
74,2,2,11,6,6
75,16,11,82,30,44
76,9,6,58,32,18
77,2,2,18,10,7
78,0,0,1,0,0
79,3,3,20,8,8
80,15,10,107,38,62
81,0,0,1,0,0
82,0,0,0,0,0
83,0,0,0,0,0
84,0,0,0,0,0
85,4,4,24,18,6
86,12,8,90,58,34
87,6,6,40,26,12
88,8,6,46,31,14
89,3,4,22,10,12
90,8,7,59,30,25
91,3,4,15,9,5
92,10,7,55,28,22
93,0,0,6,2,2
94,11,6,88,44,44
95,15,10,100,30,74
96,10,6,56,22,32
97,0,0,0,0,0
98,2,2,11,8,4
99,2,2,6,4,2
100,4,4,14,8,7
101,0,0,2,1,1
102,1,2,7,4,2
103,4,4,24,12,11
104,1,2,4,3,1
105,6,4,44,24,14
106,14,12,92,40,38
