"test_id","adult_males","subadult_males","adult_females","juveniles","pups"
0,2,1,17,14,2
1,1,1,2,2,1
2,0,0,3,2,2
3,0,0,2,2,2
4,1,1,4,3,1
5,3,2,20,10,6
6,0,0,1,2,1
7,1,2,2,1,1
8,2,1,10,6,2
9,0,1,3,2,1
10,3,2,18,11,5
11,2,2,10,7,2
12,2,2,13,10,3
13,0,1,4,4,1
14,0,0,2,0,1
15,5,4,54,36,13
16,2,2,20,11,5
17,0,0,8,2,1
18,2,2,4,3,2
19,2,2,13,9,2
20,6,6,63,36,22
21,1,1,14,6,2
22,14,9,134,118,23
23,2,2,6,1,6
24,6,3,42,21,13
25,2,2,21,8,3
26,1,1,6,4,2
27,8,5,89,76,25
28,2,2,16,11,2
29,1,1,3,2,2
30,2,1,16,10,5
31,9,6,80,73,15
32,3,2,20,14,8
33,0,1,4,3,2
34,2,3,8,6,2
35,1,1,2,2,1
36,5,4,52,40,10
37,4,2,34,16,15
38,10,6,89,46,17
39,2,1,14,10,3
40,2,2,20,12,8
41,0,0,1,1,2
42,0,0,2,2,1
43,2,2,6,0,8
44,2,2,14,5,3
45,2,2,23,24,4
46,2,2,24,20,5
47,0,1,4,2,2
48,14,10,112,65,54
49,17,11,162,75,53
50,16,8,134,84,71
51,4,4,43,27,10
52,1,2,8,8,2
53,3,2,21,14,8
54,16,11,138,85,40
55,7,4,61,28,33
56,7,4,60,48,11
57,1,0,1,0,0
58,2,2,19,16,6
59,3,2,24,18,10
60,0,0,2,2,0
61,0,1,8,4,2
62,6,4,54,44,11
63,11,6,110,78,24
64,9,6,87,68,14
65,0,0,2,2,0
66,2,2,5,2,4
67,6,4,43,24,12
68,0,0,2,2,0
69,1,1,6,6,2
70,0,0,2,1,1
71,0,0,3,1,2
72,2,2,17,10,4
73,1,0,2,3,1
74,2,2,14,8,4
75,13,6,83,53,34
76,6,4,54,30,26
77,2,1,20,11,3
78,0,0,2,2,1
79,4,2,20,12,4
80,13,6,114,64,37
81,0,0,2,0,0
82,0,0,0,1,0
83,2,2,8,0,13
84,1,1,3,0,4
85,2,2,25,14,4
86,14,8,116,72,27
87,4,4,52,44,8
88,6,4,48,38,14
89,2,2,21,12,8
90,7,4,57,34,18
91,2,1,16,10,6
92,8,5,67,32,23
93,2,0,8,4,6
94,8,6,88,77,18
95,12,7,108,58,38
96,6,4,54,33,18
97,2,2,6,2,7
98,2,2,14,8,3
99,1,2,6,6,4
100,2,2,18,10,6
101,0,0,4,2,2
102,1,2,8,4,2
103,3,2,27,15,8
104,0,1,5,2,2
105,6,3,46,27,12
106,12,6,106,79,22
107,12,7,117,87,25
108,2,2,18,8,4
109,7,4,45,39,17
110,2,1,8,5,2
111,1,2,3,0,4
112,10,8,135,84,37
113,0,0,2,0,1
114,2,1,7,4,2
115,12,8,125,91,28
116,0,0,2,2,0
117,1,0,10,6,2
118,6,2,38,14,16
119,0,0,4,2,2
120,2,2,12,11,4
121,3,3,23,19,5
122,3,2,11,8,4
123,2,2,24,28,4
124,1,2,7,2,2
125,0,0,1,2,0
126,0,1,4,3,1
127,8,6,110,77,13
128,8,5,87,70,20
129,2,2,20,14,3
130,4,2,31,31,10
131,0,0,0,0,0
132,3,2,30,22,12
133,12,7,113,74,30
134,0,0,4,3,2
135,8,5,64,36,17
136,2,1,12,11,2
137,1,0,4,2,0
138,1,1,8,7,2
139,8,4,64,34,22
140,1,1,2,1,1
141,1,1,10,10,2
142,0,0,0,0,0
143,2,2,20,16,6
144,2,1,16,10,4
145,2,2,24,18,7
146,0,0,3,2,2
147,4,4,42,26,12
148,7,4,58,33,18
149,4,2,41,20,16
150,14,10,131,106,36
151,0,1,4,2,1
152,0,0,2,0,0
153,1,1,4,4,2
154,2,2,20,9,3
155,0,1,2,2,0
156,4,3,34,23,8
157,0,0,2,2,0
158,0,0,0,0,0
159,0,0,4,4,1
160,2,1,14,10,4
161,1,0,6,3,1
162,12,6,103,72,28
163,32,18,330,108,152
164,2,2,20,10,4
165,0,0,3,2,1
166,6,3,50,28,16
167,2,1,16,8,4
168,0,1,2,4,1
169,6,3,40,24,12
170,4,4,26,24,6
171,2,1,10,7,4
172,6,5,68,36,26
173,2,2,7,7,2
174,0,1,4,4,1
175,10,6,112,77,26
176,12,8,100,70,29
177,2,1,11,11,3
178,2,2,10,6,3
179,16,10,211,110,43
180,1,1,4,4,2
181,2,2,23,22,5
182,2,1,14,8,2
183,2,2,10,7,2
184,1,1,4,2,1
185,8,4,52,21,23
186,15,9,125,70,39
187,0,0,0,0,0
188,4,2,36,18,8
189,2,1,18,15,4
190,2,2,22,14,6
191,2,2,10,8,4
192,2,2,21,17,7
193,0,0,1,2,0
194,5,3,50,36,10
195,0,0,1,2,0
196,1,2,2,0,6
