"test_id","adult_males","subadult_males","adult_females","juveniles","pups"
0,2,2,18,16,3
1,2,1,4,1,1
2,1,2,2,1,2
3,0,0,2,1,1
4,1,1,4,2,2
5,3,2,22,10,6
6,0,0,2,2,1
7,1,2,5,2,2
8,2,2,8,6,2
9,1,2,3,2,2
10,3,2,20,7,5
11,4,3,12,4,2
12,2,2,13,6,4
13,0,1,4,4,2
14,0,0,1,0,2
15,6,4,45,23,12
16,2,2,20,10,4
17,1,2,8,2,2
18,2,2,5,6,2
19,2,2,12,6,3
20,6,6,62,18,26
21,1,2,14,6,2
22,14,8,138,88,31
23,2,2,8,0,6
24,7,2,38,16,12
25,3,1,22,6,4
26,1,1,5,2,2
27,8,6,76,26,22
28,2,2,18,10,2
29,2,2,6,1,4
30,2,1,16,8,4
31,10,7,75,32,20
32,4,2,19,8,10
33,1,2,8,3,3
34,2,3,9,4,2
35,1,1,3,2,2
36,6,4,51,36,12
37,4,4,35,16,16
38,11,6,77,22,22
39,2,2,11,7,4
40,3,2,20,8,8
41,0,0,1,2,0
42,0,0,4,1,2
43,2,2,8,0,8
44,3,2,11,4,3
45,2,2,22,19,5
46,3,3,28,11,5
47,0,1,4,2,1
48,15,10,110,30,62
49,16,10,154,44,65
50,15,9,136,56,100
51,5,4,38,20,10
52,2,2,10,4,3
53,3,2,23,12,8
54,16,10,155,52,44
55,6,4,59,16,38
56,8,6,64,41,9
57,0,0,1,0,0
58,3,2,19,14,6
59,4,3,23,10,8
60,0,0,2,1,0
61,1,1,6,2,2
62,8,4,52,34,15
63,11,7,94,34,25
64,9,6,76,47,23
65,0,1,2,1,0
66,2,2,8,2,4
67,6,5,42,16,9
68,0,0,2,2,0
69,2,1,6,6,2
70,0,0,2,0,2
71,0,0,4,2,0
72,2,2,14,10,4
73,2,0,2,3,2
74,2,2,13,4,4
75,12,6,84,26,46
76,7,4,50,24,24
77,2,2,22,6,3
78,1,0,3,0,2
79,4,2,21,10,4
80,13,7,105,29,45
81,0,0,2,0,0
82,0,0,0,0,0
83,2,2,11,0,14
84,2,2,4,0,5
85,2,2,20,16,4
86,14,7,111,30,36
87,5,4,46,22,9
88,7,4,46,22,13
89,2,2,18,10,6
90,6,4,50,20,22
91,2,2,15,8,4
92,8,6,64,23,30
93,2,1,8,4,10
94,8,6,82,32,18
95,12,7,96,28,40
96,6,5,50,20,18
97,2,2,8,0,6
98,2,2,12,8,4
99,1,2,6,4,2
100,2,2,18,4,5
101,1,0,4,1,1
102,1,1,6,5,2
103,3,3,25,14,14
104,1,1,4,2,1
105,7,4,41,23,11
106,12,7,100,29,22
107,14,8,114,37,27
108,2,2,18,6,4
109,6,4,42,16,20
110,2,1,8,2,2
111,2,2,6,2,5
112,12,8,128,36,28
113,0,0,2,0,1
114,2,1,8,2,2
115,13,7,114,50,24
116,0,0,1,2,0
117,2,0,12,4,2
118,6,4,40,14,16
119,0,0,2,2,2
120,2,2,12,10,2
121,2,3,22,16,6
