"test_id","adult_males","subadult_males","adult_females","juveniles","pups"
0,2,2,17,14,3
1,2,1,4,1,1
2,1,1,2,1,2
3,0,0,2,1,1
4,1,1,3,2,1
5,4,3,21,9,6
6,0,0,4,1,1
7,1,2,4,1,1
8,2,2,8,6,2
9,1,2,3,2,2
10,4,4,19,7,5
11,4,4,10,3,2
12,2,2,13,7,4
13,1,1,4,3,1
14,0,0,1,1,1
15,7,4,48,25,14
16,3,2,20,10,4
17,1,2,6,2,2
18,2,2,5,7,2
19,2,2,12,7,3
20,8,8,63,20,25
21,1,2,12,6,2
22,15,9,139,101,39
23,2,2,6,0,6
24,7,3,38,15,14
25,3,1,21,8,4
26,1,1,5,2,2
27,10,7,83,30,29
28,2,2,17,11,2
29,2,1,6,1,3
30,3,1,16,9,4
31,11,7,78,36,24
32,4,5,19,9,10
33,1,1,6,3,3
34,2,3,8,5,2
35,1,1,3,2,2
36,7,5,54,34,12
37,5,6,32,15,13
38,12,9,81,25,26
39,2,2,11,8,4
40,3,3,19,9,8
41,1,0,1,2,1
42,1,0,3,1,2
43,2,2,8,0,7
44,3,2,11,4,3
45,3,3,22,19,6
46,3,3,26,12,5
47,1,1,3,2,1
48,16,11,112,29,65
49,18,11,156,47,75
50,16,10,134,74,91
51,5,4,41,21,12
52,2,2,11,4,3
53,4,3,22,13,8
54,18,12,142,59,52
55,8,6,59,16,36
56,8,6,69,37,12
57,1,0,1,0,0
58,3,4,19,14,6
59,4,4,23,10,9
60,0,0,2,1,1
61,1,1,6,2,2
62,8,4,58,32,16
63,12,9,101,35,29
64,10,7,81,54,23
65,1,1,2,1,1
66,3,3,6,3,4
67,7,5,41,14,14
68,0,0,2,2,1
69,2,1,5,6,2
70,0,0,2,1,2
71,1,1,4,2,1
72,2,2,14,11,4
73,2,0,2,3,2
74,3,2,12,6,4
75,13,7,83,27,48
76,7,6,49,25,20
77,3,2,21,8,3
78,1,0,3,0,1
79,4,3,21,10,6
80,15,8,104,29,45
81,0,0,2,1,1
82,0,1,0,0,0
83,2,2,11,0,14
84,2,1,4,0,5
85,3,2,21,18,4
86,14,9,106,32,42
87,6,5,47,22,10
88,8,5,48,23,13
89,3,3,19,11,6
90,8,4,52,20,24
91,2,2,15,8,4
92,8,6,64,23,29
93,2,1,8,4,8
94,9,7,84,31,25
95,13,9,95,28,43
96,7,6,49,21,22
97,2,2,8,0,6
98,2,3,12,9,4
99,1,2,6,5,2
100,3,4,17,5,5
101,1,1,4,2,1
102,1,1,6,5,2
103,4,3,25,15,13
104,1,2,3,2,1
105,7,5,41,26,11
106,14,8,96,30,33
107,15,8,111,34,36
108,3,2,18,6,4
109,7,6,43,18,23
110,2,2,7,3,3
111,1,2,5,2,4
112,14,10,132,46,41
113,0,0,2,0,1
114,2,1,6,2,2
115,15,9,113,44,29
116,0,0,1,2,0
117,2,1,10,3,2
118,6,4,40,13,18
119,1,1,2,2,2
120,2,2,12,10,2
121,3,4,22,17,7
122,4,3,12,5,4
123,2,3,26,33,4
124,1,2,6,2,1
125,0,0,1,1,1
126,1,1,3,1,2
127,9,7,78,61,20
128,9,6,72,28,26
129,3,3,17,14,3
130,5,3,35,19,10
131,0,0,1,0,0
132,4,3,31,11,13
133,15,7,110,36,44
134,1,1,5,3,2
135,9,7,67,18,17
136,2,1,12,8,2
137,1,0,2,1,0
138,1,1,6,4,2
139,8,6,69,21,28
140,1,1,2,4,1
141,1,1,8,5,2
142,0,1,0,1,0
143,3,3,21,12,6
144,3,1,17,10,4
145,3,4,22,11,6
146,0,1,1,1,1
147,6,4,43,19,11
148,9,7,59,19,21
149,5,3,42,15,15
150,17,11,132,57,44
151,1,2,4,2,1
152,0,0,2,0,1
153,2,1,3,2,1
154,3,1,20,10,4
155,1,1,2,2,1
156,5,5,30,21,9
157,0,0,2,3,1
158,0,1,0,1,0
159,1,1,4,4,1
160,2,2,14,7,4
161,2,1,5,4,1
162,15,8,103,33,37
163,32,20,348,78,125
164,2,2,19,10,4
165,1,1,5,2,1
166,8,5,46,15,19
167,2,1,16,9,3
168,2,1,3,4,1
169,6,4,39,18,12
170,5,4,25,21,8
171,2,2,10,4,4
172,8,6,82,53,32
173,2,1,5,4,2
174,1,2,4,2,1
175,13,8,106,34,34
176,15,10,97,28,45
177,2,1,12,11,3
178,2,2,9,9,3
179,17,11,185,96,67
180,1,1,4,5,2
181,3,2,22,20,4
182,2,2,13,6,3
183,2,3,9,5,3
184,0,1,4,2,1
185,9,5,50,14,24
186,17,10,128,33,53
187,1,0,2,0,1
188,5,2,34,19,8
189,2,2,18,11,4
190,3,3,21,8,5
191,3,2,8,4,3
192,3,3,21,14,8
193,0,1,2,1,0
194,6,5,46,29,9
195,0,0,1,1,0
196,2,2,7,0,6
197,2,2,7,1,6
198,2,4,13,7,3
199,4,5,20,9,5
200,2,3,7,5,2
201,14,7,106,49,31
202,1,1,2,2,0
203,0,0,1,4,1
204,15,9,110,34,46
205,2,1,19,13,4
206,7,6,45,19,20
207,2,1,4,4,2
208,0,0,1,3,1
209,2,1,6,3,2
210,1,1,3,2,1
211,2,3,17,11,4
212,5,5,29,20,9
213,2,3,11,6,3
214,4,3,35,28,6
215,2,1,7,3,2
216,0,1,2,3,0
217,3,3,14,7,4
218,2,1,8,8,4
219,1,1,6,4,2
220,2,3,8,3,2
221,9,4,47,15,22
222,1,2,13,10,2
223,3,2,13,5,3
224,6,7,40,11,16
225,1,1,3,3,3
226,3,3,30,20,5
227,0,0,4,1,2
228,6,4,56,29,21
229,0,1,2,2,1
230,8,6,45,21,16
231,2,2,13,5,4
232,0,0,1,1,0
233,1,0,5,4,1
234,8,4,53,22,18
235,11,6,74,23,40
236,6,6,31,9,17
