"test_id","adult_males","subadult_males","adult_females","juveniles","pups"
0,2,1,19,15,2
1,2,1,1,3,1
2,2,1,1,1,2
3,1,1,2,0,0
4,2,2,3,1,1
5,5,3,23,5,5
6,1,1,1,0,1
7,1,3,1,1,1
8,3,4,8,6,1
9,2,3,2,1,1
10,5,8,14,8,6
11,5,6,6,5,2
12,3,3,8,9,3
13,2,1,2,3,1
14,1,1,1,0,0
15,11,6,61,21,20
16,4,3,23,10,4
17,2,2,3,1,1
18,1,2,3,7,2
19,2,3,9,10,5
20,11,11,63,26,32
21,1,3,14,7,1
22,18,10,156,89,53
23,2,3,7,3,10
24,9,3,32,19,19
25,3,3,21,6,2
26,2,2,3,2,2
27,11,9,85,42,40
28,3,3,12,10,2
29,2,1,3,1,1
30,3,1,16,7,6
31,13,6,83,26,61
32,5,8,21,5,9
33,1,0,8,3,1
34,3,4,7,5,1
35,2,1,1,1,1
36,9,9,68,34,12
37,8,14,29,15,4
38,13,13,79,25,45
39,3,3,9,9,3
40,5,8,13,13,8
41,1,0,1,1,1
42,1,1,1,1,0
43,3,3,7,3,8
44,4,3,8,3,4
45,3,4,18,23,5
46,4,8,24,13,9
47,1,2,1,2,1
48,18,13,108,29,89
49,23,10,184,58,123
50,20,9,169,134,100
51,6,6,51,25,14
52,2,3,11,5,2
53,6,7,15,7,8
54,25,15,142,95,94
55,10,8,63,14,35
56,10,8,62,34,15
57,1,1,1,0,0
58,4,9,18,7,8
59,6,10,22,4,9
60,1,0,1,0,2
61,2,2,4,1,3
62,9,6,60,29,28
63,16,12,112,39,32
64,10,10,85,49,23
65,1,1,2,1,1
66,2,5,7,9,9
67,10,11,33,7,19
68,1,2,3,1,0
69,3,3,5,8,1
70,1,0,1,2,1
71,1,2,4,5,2
72,2,3,12,13,3
73,2,0,1,3,2
74,5,2,9,12,4
75,16,8,94,22,56
76,8,9,45,25,14
77,3,4,21,14,3
78,1,1,2,0,0
79,5,2,20,14,8
80,20,10,109,29,49
81,1,0,1,1,2
82,1,2,0,3,1
83,1,4,19,3,19
84,1,1,6,3,9
85,3,2,19,24,3
86,18,12,109,29,61
87,7,7,41,27,11
88,9,7,59,21,13
89,4,1,23,8,7
90,10,2,53,15,32
91,4,5,14,12,2
92,9,7,66,23,26
93,2,1,10,3,8
94,12,7,95,43,31
95,17,11,93,31,51
96,10,6,54,19,34
97,2,3,5,6,9
98,3,5,16,8,4
99,1,3,4,5,2
100,4,8,14,9,5
101,1,1,2,1,1
102,1,2,6,7,2
103,5,5,25,12,12
104,2,4,2,1,3
105,7,8,53,41,6
106,18,13,75,35,50
107,20,11,105,29,52
108,3,3,18,7,4
109,10,7,43,18,30
110,3,5,6,2,4
111,1,3,3,2,7
112,20,13,133,36,93
113,1,1,2,1,0
114,3,2,5,2,4
115,18,11,121,40,37
116,1,1,1,1,1
117,3,4,9,3,2
118,7,4,34,7,22
119,2,2,1,1,2
120,3,3,8,7,3
121,4,5,21,21,6
122,5,7,10,3,3
123,3,4,19,29,5
124,1,4,6,4,1
125,1,0,1,3,0
126,2,1,1,1,1
127,11,9,99,67,21
128,10,6,76,33,32
129,4,3,21,21,3
130,6,5,36,16,12
131,0,1,1,1,0
132,5,6,27,13,15
133,18,4,113,42,73
134,1,2,5,5,1
135,11,11,59,19,26
136,3,1,6,9,2
137,1,0,1,3,0
138,3,4,3,2,1
139,11,5,64,22,44
140,2,2,2,2,1
141,2,4,5,5,1
142,1,1,0,1,1
143,5,4,17,14,5
144,4,2,16,8,3
145,4,6,21,16,7
146,1,1,1,1,2
147,8,5,36,13,13
148,14,11,63,9,28
149,6,3,45,18,13
150,23,13,125,40,67
151,2,1,2,2,2
152,1,1,1,0,1
153,4,3,4,1,5
154,4,3,15,11,5
155,1,2,1,5,1
156,6,13,32,9,8
157,1,1,8,2,0
158,1,3,0,0,1
159,1,2,3,6,1
160,3,3,10,10,2
161,2,0,3,3,1
162,19,11,111,38,64
163,36,18,308,82,141
164,3,3,21,14,4
165,2,3,4,9,0
166,10,5,43,13,23
167,3,3,13,8,2
