"test_id","adult_males","subadult_males","adult_females","juveniles","pups"
0,2,2,15,12,3
1,2,2,4,2,1
2,2,0,3,2,1
3,0,0,3,0,2
4,2,1,2,4,1
5,5,4,19,8,7
6,0,1,8,1,0
7,1,2,2,1,0
8,2,2,8,6,2
9,2,2,3,2,1
10,5,6,16,7,5
11,5,5,8,3,2
12,2,4,12,8,4
13,1,1,3,3,1
14,0,0,2,1,1
15,9,5,55,28,20
16,4,2,20,12,4
17,2,2,3,2,2
18,2,2,4,8,2
19,2,3,10,10,4
20,11,11,65,24,24
21,2,2,9,6,2
22,18,11,142,124,54
23,2,2,4,0,6
24,8,4,38,14,19
25,4,2,20,12,4
26,2,2,5,2,2
27,12,8,96,36,44
28,2,3,14,12,2
29,1,1,4,1,2
30,4,1,16,12,4
31,12,6,84,44,32
32,5,10,19,9,10
33,1,1,4,2,2
34,3,3,6,6,2
35,1,1,2,2,2
36,8,7,59,28,14
37,7,10,27,14,6
38,13,14,88,30,34
39,2,2,10,10,4
40,4,6,16,12,8
41,1,0,1,2,1
42,1,0,1,1,1
43,2,2,9,0,6
44,3,2,10,4,4
45,4,4,20,20,7
46,4,4,22,14,5
47,1,2,3,2,1
48,19,14,115,28,71
49,20,12,160,54,94
50,19,12,130,108,74
51,6,4,48,22,15
52,2,2,14,5,3
53,6,5,20,14,8
54,22,15,116,73,68
55,10,8,58,16,32
56,9,6,78,28,18
57,1,0,1,0,0
58,4,7,19,14,6
59,6,6,22,10,9
60,1,0,2,0,1
61,2,2,6,2,2
62,8,6,68,28,18
63,14,12,114,36,38
64,11,8,91,67,24
65,2,2,2,1,2
66,3,4,4,4,4
67,9,6,40,10,24
68,1,0,2,2,1
69,2,2,4,6,2
70,0,0,2,1,2
71,1,1,4,3,1
72,2,2,13,12,4
73,2,0,2,2,1
74,4,2,9,8,4
75,16,8,82,28,53
76,8,10,49,28,12
77,3,3,18,10,3
78,1,0,2,0,0
79,4,4,20,12,8
80,19,10,102,30,46
81,0,0,2,1,1
82,0,2,0,0,0
83,2,2,10,0,12
84,2,0,4,0,5
85,3,2,23,24,4
86,16,12,96,36,54
87,8,7,49,22,12
88,10,8,50,24,14
89,4,4,20,15,8
90,10,6,56,18,30
91,4,4,14,10,4
92,9,6,64,22,26
93,2,0,9,4,4
94,12,8,90,30,37
95,17,12,94,30,50
96,10,8,47,24,30
97,2,2,6,1,6
98,2,4,12,12,4
99,2,2,6,5,2
100,4,6,15,7,6
101,1,1,4,4,2
102,2,2,6,6,2
103,5,4,24,18,11
104,2,4,2,2,2
105,7,6,42,32,10
106,18,11,87,32,56
107,18,10,106,28,52
108,4,3,18,8,4
109,10,10,46,22,28
110,2,3,6,4,4
111,1,2,3,1,3
112,18,14,140,66,66
113,0,1,2,0,0
114,3,2,4,2,3
115,18,12,110,32,38
116,0,0,1,1,0
117,2,3,6,2,2
118,8,4,40,12,24
119,2,1,2,2,2
120,2,4,10,12,2
121,4,6,21,21,8
122,5,5,10,4,4
123,2,4,24,24,5
124,2,3,6,2,1
125,0,0,1,2,2
126,2,1,2,2,2
127,10,9,77,52,28
128,12,8,80,34,38
129,4,4,18,14,4
130,6,5,38,20,12
131,0,0,0,0,0
132,5,5,31,12,12
133,18,7,107,43,60
134,1,2,5,5,2
135,11,10,68,22,22
136,2,1,12,8,2
137,1,0,2,1,0
138,2,2,4,5,2
139,10,6,67,24,26
140,2,2,2,3,1
141,2,1,8,6,2
142,0,2,0,2,0
143,4,4,20,14,6
144,4,2,16,13,4
145,4,6,22,12,10
146,0,1,1,2,2
147,8,6,44,18,10
148,12,9,50,19,26
149,6,4,44,14,18
150,22,14,130,52,60
151,2,2,3,3,1
152,0,0,2,0,1
153,3,2,4,2,2
154,4,2,18,9,4
155,2,2,3,2,1
156,6,8,28,17,11
157,0,0,2,3,1
158,1,1,0,0,0
159,2,2,4,6,1
160,2,3,10,10,3
161,2,0,4,4,2
162,18,12,98,34,59
163,41,22,359,75,168
164,3,3,16,11,4
165,1,2,4,4,0
166,10,8,44,12,18
167,2,2,12,10,3
168,2,1,2,4,2
169,6,6,36,18,14
170,5,6,24,14,8
171,3,2,8,4,4
172,10,8,74,71,20
173,3,2,5,4,2
174,2,2,3,2,2
175,16,10,104,34,50
176,19,12,96,33,62
177,3,1,10,16,2
178,2,2,8,10,3
179,22,12,181,64,92
180,2,2,4,4,2
181,3,2,23,22,4
182,2,2,12,9,3
183,3,4,10,4,4
184,0,2,4,2,1
185,11,7,46,14,25
186,21,12,124,37,63
187,0,0,0,0,0
188,6,2,26,16,8
189,3,2,18,12,4
190,5,5,19,8,6
191,4,4,8,3,3
192,4,4,20,15,8
193,0,1,2,1,0
194,9,8,44,24,12
195,0,0,1,1,0
196,2,2,7,0,7
197,2,1,4,2,6
198,3,7,12,8,3
199,5,10,18,10,6
200,2,4,8,6,3
201,18,8,97,60,30
202,1,2,2,2,0
203,0,1,1,7,1
204,20,12,109,36,54
205,2,2,18,12,4
206,9,8,40,18,24
207,2,1,3,6,2
208,0,0,0,4,0
