"test_id","adult_males","subadult_males","adult_females","juveniles","pups"
0,2,2,12,16,6
1,2,2,3,2,1
2,1,1,4,1,7
3,0,0,3,1,4
4,1,2,4,2,6
5,8,4,16,14,8
6,0,0,4,1,6
7,1,2,3,1,2
8,2,2,8,6,6
9,1,2,4,2,7
10,6,6,13,10,8
11,4,4,6,4,2
12,2,3,9,9,8
13,0,1,4,2,4
14,0,0,2,1,6
15,14,6,37,38,27
16,3,2,16,13,9
17,1,2,6,2,6
18,2,2,6,4,3
19,2,3,9,8,6
20,22,10,48,39,26
21,2,2,8,8,6
22,29,12,91,140,66
23,1,1,4,0,9
24,14,6,30,24,25
25,2,2,14,12,6
26,1,2,4,2,4
27,24,10,66,57,48
28,2,2,12,12,10
29,1,1,3,1,4
30,2,2,13,14,10
31,25,10,56,58,34
32,8,6,16,14,14
33,0,0,4,4,2
34,2,2,6,6,4
35,1,1,3,2,6
36,10,6,44,34,22
37,12,8,20,19,13
38,19,12,58,57,46
39,2,2,10,10,10
40,6,5,14,15,9
41,0,0,2,1,5
42,0,0,2,1,2
43,1,0,5,0,8
44,2,3,9,7,6
45,4,4,16,21,15
46,6,4,18,18,14
47,1,2,4,2,4
48,40,15,80,62,52
49,55,18,110,90,64
50,46,16,93,116,60
51,9,4,34,26,17
52,2,3,10,6,7
53,6,4,16,16,14
54,46,19,89,106,75
55,26,10,46,32,23
56,13,7,48,40,28
57,0,0,2,0,2
58,4,5,16,12,17
59,8,6,16,14,9
60,0,0,2,0,4
61,1,2,6,2,5
62,14,7,46,40,22
63,29,12,75,58,42
64,21,10,69,64,29
65,1,1,2,1,3
66,2,2,2,2,6
67,13,7,30,26,15
68,0,0,2,2,0
69,2,2,5,4,6
70,0,0,2,0,4
71,0,1,4,1,2
72,2,2,10,16,8
73,1,1,3,2,4
74,4,2,9,8,8
75,32,12,58,50,42
76,16,8,38,37,18
77,2,3,14,12,5
78,0,0,2,0,3
79,6,4,16,16,8
80,34,12,74,57,43
81,0,0,2,0,2
82,0,1,2,1,6
83,1,2,7,0,10
84,0,0,4,0,6
