"test_id","adult_males","subadult_males","adult_females","juveniles","pups"
0,2,2,16,13,2
1,2,2,2,2,1
2,2,1,2,2,1
3,0,1,2,0,1
4,2,2,3,2,1
5,4,3,18,7,4
6,0,1,5,0,1
7,2,2,2,1,0
8,2,2,8,6,2
9,2,2,3,2,1
10,4,6,14,10,4
11,4,4,8,3,2
12,2,3,10,9,3
13,1,1,3,2,2
14,1,0,2,0,2
15,10,6,51,25,14
16,4,3,18,13,4
17,1,2,4,2,1
18,2,2,4,6,2
19,2,2,9,9,3
20,10,12,58,25,24
21,2,2,10,7,2
22,18,9,135,97,46
23,2,2,6,2,4
24,8,4,31,20,15
25,4,4,17,12,2
26,2,2,4,2,3
27,11,8,80,34,36
28,3,2,12,11,2
29,2,2,2,2,1
30,4,1,16,13,4
31,12,6,80,28,34
32,5,5,17,8,8
33,0,0,4,2,2
34,2,2,6,6,2
35,2,2,2,2,1
36,8,8,56,30,10
37,6,9,22,14,6
38,12,13,78,29,34
39,3,2,10,8,4
40,4,6,16,14,8
41,0,0,1,1,1
42,1,0,1,1,0
43,1,2,4,2,4
44,4,2,10,4,4
45,4,3,18,22,6
46,4,5,20,18,6
47,1,2,2,2,1
48,18,12,95,34,58
49,22,12,128,51,70
50,20,12,123,112,60
51,6,5,38,22,11
52,2,2,12,4,2
53,4,5,19,14,6
54,22,14,100,70,60
55,10,6,54,18,28
56,9,6,54,38,12
57,1,0,1,0,0
58,4,7,20,14,8
59,6,6,18,9,8
60,0,0,2,2,1
61,1,2,6,4,2
62,9,5,62,37,14
63,14,12,90,35,26
64,10,10,79,84,19
65,2,2,2,1,1
66,2,4,4,6,2
67,8,6,36,14,14
68,0,1,3,1,1
69,2,2,5,7,2
70,1,0,2,0,1
71,0,0,6,2,0
72,2,2,11,14,3
73,2,0,2,2,1
74,4,2,10,9,4
75,14,10,76,28,40
76,8,8,44,29,12
77,2,3,16,12,3
78,1,0,2,0,0
79,4,3,18,12,6
80,17,10,91,32,40
81,1,0,2,1,0
82,0,2,1,0,0
83,2,2,10,0,8
84,1,1,5,2,2
85,3,2,17,24,4
86,14,10,90,30,42
87,8,6,42,24,11
88,8,8,48,24,11
89,4,2,18,10,5
90,10,6,54,25,20
91,4,2,11,14,4
92,10,6,58,26,20
93,2,1,10,2,4
94,12,6,82,38,28
95,16,9,89,30,42
96,10,7,46,24,21
97,2,2,6,5,3
98,2,4,12,9,4
