"test_id","adult_males","subadult_males","adult_females","juveniles","pups"
0,2,2,15,12,3
1,2,2,4,4,1
2,2,1,3,2,2
3,0,1,4,0,2
4,2,2,2,3,2
5,4,4,18,8,4
6,0,0,5,1,0
7,2,2,2,1,1
8,2,3,10,6,2
9,2,2,3,2,2
10,5,8,15,6,5
11,4,5,8,4,2
12,2,4,12,9,4
13,1,1,3,2,1
14,0,0,1,1,2
15,8,6,46,29,19
16,4,2,20,10,6
17,2,2,4,2,4
18,2,2,4,4,3
19,3,4,12,10,4
20,10,12,64,24,29
21,2,2,10,6,2
22,19,10,160,89,78
23,2,2,8,0,6
24,8,4,38,24,23
25,4,2,22,8,5
26,2,2,3,2,2
27,12,8,89,25,45
28,2,3,15,12,2
29,2,2,4,2,2
30,4,2,16,14,4
31,12,7,88,43,42
32,5,9,20,8,8
33,1,0,4,2,2
34,2,3,6,5,2
35,2,2,2,2,2
36,8,4,66,22,14
37,6,9,28,18,10
38,14,12,88,34,34
39,2,4,10,6,4
40,4,6,15,14,9
41,0,0,1,2,2
42,1,0,1,1,0
43,2,0,6,0,6
44,4,4,11,4,5
45,3,3,24,21,10
46,5,5,22,13,8
47,1,2,2,2,1
48,20,13,116,30,81
49,23,12,159,42,112
50,21,14,137,102,94
51,6,4,45,18,16
52,2,4,16,4,3
53,6,6,18,12,10
54,26,16,148,50,87
55,10,8,70,20,36
56,10,6,71,26,21
57,0,0,1,0,1
58,4,6,17,8,8
59,6,7,24,10,10
60,0,0,1,0,2
61,2,2,6,4,2
62,8,5,56,28,14
63,16,10,118,35,36
64,11,10,90,57,32
65,1,2,2,2,1
66,2,3,4,4,4
67,10,10,40,18,18
68,0,1,2,1,1
69,2,2,4,6,2
70,0,0,2,0,2
71,0,1,4,3,0
72,2,2,14,12,4
73,1,0,2,4,2
74,4,2,8,6,5
75,15,10,82,30,57
76,8,10,42,31,11
77,4,4,20,8,4
78,1,1,2,2,0
79,4,5,20,18,6
80,19,10,112,23,69
81,0,0,2,1,1
82,0,2,0,0,2
83,2,4,10,0,10
84,1,1,5,0,5
85,4,2,22,24,4
86,17,10,114,33,54
87,9,6,52,22,12
88,10,8,56,28,13
89,4,4,18,9,8
90,10,6,65,25,31
91,4,4,14,6,5
92,10,7,66,31,32
93,2,0,10,6,6
94,12,8,94,28,40
95,18,10,114,23,68
96,10,9,50,16,26
97,2,0,7,2,5
98,3,4,14,12,4
99,2,2,6,5,2
100,4,6,14,4,8
101,0,1,4,2,2
102,1,2,8,4,2
103,5,4,24,15,12
104,2,4,4,2,4
105,9,7,36,48,10
106,17,11,90,42,55
107,20,10,124,28,60
108,3,4,22,8,4
109,8,8,49,22,30
110,2,4,4,2,2
111,0,1,6,2,4
112,18,10,116,44,52
113,1,1,2,0,0
114,3,2,6,4,3
115,18,10,112,36,48
116,0,1,2,1,1
117,2,3,7,7,2
118,7,6,36,10,26
119,2,1,4,1,2
120,2,4,14,12,3
121,3,4,30,20,6
122,5,4,11,4,4
123,2,4,22,45,6
124,2,4,6,4,1
125,0,0,1,4,0
126,2,2,3,3,2
127,10,10,70,40,42
128,12,8,86,32,42
129,4,2,16,14,4
130,5,4,42,21,14
131,0,0,0,0,0
132,6,4,30,14,18
133,19,8,117,44,71
134,1,2,7,6,4
135,11,9,70,26,30
136,2,1,12,8,3
137,1,0,2,2,1
138,2,2,4,4,2
139,10,6,64,30,24
140,1,2,2,3,1
141,2,2,8,7,2
142,0,2,0,2,0
143,4,4,15,16,4
144,4,4,18,12,4
145,4,8,26,12,8
146,0,0,1,1,2
147,8,6,44,22,10
148,12,10,54,20,24
149,6,4,42,18,20
150,23,14,152,52,80
151,2,2,4,4,1
