"test_id","adult_males","subadult_males","adult_females","juveniles","pups"
0,2,2,15,17,2
1,2,2,4,1,0
2,2,0,3,2,1
3,0,0,3,0,1
4,2,1,2,2,0
5,5,4,19,6,9
6,0,1,8,2,0
7,1,2,2,1,0
8,2,2,8,6,2
9,2,2,3,2,0
10,5,6,16,5,3
11,5,5,8,2,2
12,2,4,12,7,2
13,1,1,3,2,0
14,0,0,2,0,0
15,9,5,55,28,11
16,4,2,20,11,6
17,2,2,3,2,2
18,2,2,4,6,1
19,2,3,10,6,3
20,11,11,65,17,19
21,2,2,9,6,1
22,18,11,142,120,28
23,2,2,4,0,3
24,8,4,38,12,11
25,4,2,20,10,2
26,2,2,5,1,2
27,12,8,96,30,22
28,2,3,14,13,2
29,1,1,4,1,1
30,4,1,16,6,2
31,12,6,84,28,26
32,5,10,19,9,12
33,1,1,4,1,1
34,3,3,6,4,2
35,1,1,2,1,1
36,8,7,59,39,9
37,7,10,27,7,16
38,13,14,88,24,27
39,2,2,10,8,3
40,4,6,16,7,8
41,1,0,1,1,0
42,1,0,1,0,0
43,2,2,9,0,3
44,3,2,10,3,2
45,4,4,20,22,4
46,4,4,22,8,4
47,1,2,3,1,0
48,19,14,115,20,61
49,20,12,160,36,64
50,19,12,130,60,89
51,6,4,48,22,8
52,2,2,14,4,2
53,6,5,20,8,4
54,22,15,116,44,34
55,10,8,58,9,29
56,9,6,78,38,10
57,1,0,1,0,0
58,4,7,19,12,3
59,6,6,22,6,10
60,1,0,2,0,0
61,2,2,6,1,1
62,8,6,68,30,9
63,14,12,114,34,26
64,11,8,91,60,22
65,2,2,2,0,1
66,3,4,4,2,2
67,9,6,40,10,12
68,1,0,2,1,0
69,2,2,4,3,2
70,0,0,2,0,1
71,1,1,4,2,1
72,2,2,13,14,2
73,2,0,2,1,0
74,4,2,9,6,4
75,16,8,82,18,40
76,8,10,49,17,18
77,3,3,18,18,2
78,1,0,2,0,0
79,4,4,20,9,6
80,19,10,102,24,54
81,0,0,2,2,0
82,0,2,0,0,0
83,2,2,10,0,6
84,2,0,4,0,2
85,3,2,23,21,4
86,16,12,96,28,38
87,8,7,49,32,6
88,10,8,50,22,7
89,4,4,20,10,4
90,10,6,56,16,20
91,4,4,14,5,2
92,9,6,64,14,24
93,2,0,9,4,2
94,12,8,90,33,24
95,17,12,94,20,44
96,10,8,47,18,18
97,2,2,6,0,3
98,2,4,12,12,2
99,2,2,6,2,3
100,4,6,15,4,4
101,1,1,4,2,1
102,2,2,6,7,2
103,5,4,24,13,14
104,2,4,2,2,2
105,7,6,42,24,11
106,18,11,87,28,30
107,18,10,106,38,28
108,4,3,18,5,4
109,10,10,46,14,22
110,2,3,6,2,4
111,1,2,3,0,2
112,18,14,140,43,42
113,0,1,2,0,0
114,3,2,4,2,2
115,18,12,110,54,24
116,0,0,1,1,0
117,2,3,6,6,1
118,8,4,40,8,13
119,2,1,2,1,1
120,2,4,10,11,1
121,4,6,21,16,6
122,5,5,10,2,4
123,2,4,24,22,4
124,2,3,6,2,2
125,0,0,1,1,1
126,2,1,2,1,2
127,10,9,77,74,14
128,12,8,80,26,22
129,4,4,18,20,2
130,6,5,38,20,8
131,0,0,0,0,0
132,5,5,31,8,12
133,18,7,107,31,39
134,1,2,5,3,1
135,11,10,68,18,14
136,2,1,12,10,1
137,1,0,2,0,0
138,2,2,4,4,1
139,10,6,67,16,24
140,2,2,2,2,0
141,2,1,8,3,2
142,0,2,0,1,0
143,4,4,20,15,8
144,4,2,16,12,2
145,4,6,22,6,6
146,0,1,1,1,1
147,8,6,44,15,6
148,12,9,50,14,22
149,6,4,44,12,15
150,22,14,130,64,32
151,2,2,3,2,0
152,0,0,2,0,0
153,3,2,4,1,1
154,4,2,18,10,2
155,2,2,3,1,0
