"test_id","adult_males","subadult_males","adult_females","juveniles","pups"
0,3,2,16,10,3
1,2,2,3,3,1
2,2,2,2,1,2
3,1,0,2,0,2
4,2,2,3,3,2
5,4,2,20,10,6
6,1,2,4,0,2
7,1,2,4,1,0
8,2,3,9,4,2
9,2,3,3,2,2
10,4,4,20,14,4
11,5,4,10,7,2
12,3,4,10,7,4
13,2,2,3,2,1
14,0,2,2,0,2
15,9,5,50,26,20
16,4,5,20,8,4
17,2,2,3,2,3
18,2,1,4,4,2
19,2,3,10,8,2
20,9,8,74,34,21
21,2,2,12,11,2
22,20,10,128,96,75
23,2,2,7,0,4
24,10,6,36,22,15
25,4,2,18,10,3
26,2,2,4,2,2
27,12,8,99,52,32
28,4,5,12,6,2
29,2,2,2,1,2
30,4,1,17,13,6
31,14,8,78,26,46
32,5,9,18,8,11
33,0,0,3,3,2
34,2,3,7,8,2
35,2,2,2,2,1
36,8,4,65,27,18
37,6,10,30,20,7
38,12,12,85,28,47
39,2,2,12,12,6
40,5,5,16,16,8
41,1,0,1,2,2
42,2,0,1,1,0
43,2,1,6,0,4
44,3,4,14,6,4
45,4,6,17,13,10
46,5,8,24,11,6
47,2,3,2,2,1
48,18,14,106,29,78
49,21,12,168,68,76
50,20,12,130,114,70
51,6,6,38,22,12
52,2,4,14,6,2
53,4,4,20,12,8
54,23,17,120,138,46
55,10,10,60,35,24
56,9,8,56,25,16
57,0,2,1,0,0
58,4,9,22,12,6
59,6,6,24,10,8
60,1,0,3,2,0
61,2,2,7,2,2
62,8,6,55,37,18
63,15,12,97,35,32
64,12,11,90,68,18
65,2,2,4,1,2
66,2,6,7,0,4
67,8,6,44,26,10
68,1,2,2,2,0
69,2,2,6,10,2
70,2,0,1,0,1
71,0,1,6,6,0
72,2,2,12,10,4
73,2,1,2,2,2
74,4,2,9,11,6
75,16,10,78,25,46
76,8,10,55,30,10
77,4,4,24,10,5
78,1,2,1,1,0
79,4,6,21,18,7
80,18,9,98,28,43
81,0,0,2,2,2
82,0,4,0,4,2
83,1,3,14,0,9
84,1,2,1,0,2
85,3,2,19,20,4
86,15,14,95,34,71
87,8,11,48,19,14
88,11,6,51,26,12
89,4,2,19,14,6
90,10,6,56,19,24
91,2,4,15,16,4
92,10,7,66,21,22
93,2,2,16,2,8
94,12,8,82,37,20
95,17,13,99,30,45
96,10,10,54,24,34
97,2,2,8,4,4
98,2,3,14,10,3
99,2,2,7,8,2
100,4,4,17,6,6
101,0,2,3,9,1
102,2,2,6,4,2
103,5,4,24,14,11
104,2,2,2,2,5
105,9,6,44,34,11
106,16,12,92,42,43
107,20,10,96,30,57
108,3,2,16,9,6
109,10,10,45,26,21
110,3,2,5,2,4
111,1,2,2,0,4
112,20,17,136,38,76
113,0,2,2,2,0
114,4,2,4,2,2
115,18,12,98,46,42
116,0,1,1,2,2
117,2,3,8,12,4
118,6,4,38,18,16
119,1,2,3,3,2
120,2,4,10,11,2
121,4,6,22,20,8
122,4,4,12,8,4
123,3,5,22,38,4
124,1,2,4,4,1
125,1,1,1,1,0
126,2,2,2,2,1
127,10,10,73,31,36
128,12,9,84,42,18
129,4,3,14,13,4
130,6,8,32,15,12
131,0,0,3,6,0
132,4,6,30,21,18
133,18,8,103,46,48
134,1,3,6,6,2
135,12,11,62,16,26
136,3,2,8,2,2
137,1,0,2,2,0
138,4,4,4,4,2
139,12,8,72,22,25
140,2,2,2,4,1
141,2,3,6,3,3
142,1,2,0,1,1
143,4,3,17,13,6
144,3,2,23,12,4
145,4,7,20,14,9
146,0,2,1,3,2
147,7,4,42,24,9
148,12,10,61,20,22
149,6,4,42,10,18
150,22,14,120,71,48
151,1,1,3,8,3
152,0,0,1,0,0
153,3,2,2,2,3
154,3,2,18,10,8
155,2,1,4,4,1
156,6,9,37,28,8
157,0,0,2,5,0
158,0,2,1,3,2
159,2,2,4,6,1
160,3,3,12,8,2
161,2,0,5,4,2
162,18,12,104,44,44
163,41,20,332,79,164
164,4,3,20,12,5
165,1,2,2,3,1
166,9,12,50,30,22
167,2,4,10,6,3
168,2,2,4,2,3
169,6,5,38,23,10
170,6,10,21,8,11
171,3,2,8,6,5
172,8,6,95,84,16
173,2,2,6,6,2
174,2,2,4,2,1
175,16,10,108,38,41
176,18,11,90,30,58
177,2,2,11,18,4
178,2,1,8,17,3
179,22,14,170,72,86
180,2,2,4,12,2
181,4,2,19,14,8
182,2,2,12,10,3
183,3,3,10,8,3
184,1,2,3,2,2
185,11,6,50,24,23
186,20,13,125,36,83
187,0,2,2,1,0
188,6,2,28,13,12
189,4,4,16,8,6
190,5,5,19,10,8
191,4,4,8,4,4
192,4,4,22,29,6
193,1,2,1,1,0
194,8,8,45,28,16
195,0,0,1,3,0
196,3,2,6,0,4
197,2,2,6,0,5
198,3,2,10,6,6
199,4,6,19,13,6
200,2,4,11,10,4
201,19,8,99,40,36
202,1,2,2,1,1
203,2,2,1,5,0
204,20,12,106,48,52
205,3,1,17,9,5
206,8,7,40,19,25
207,2,1,4,6,2
208,0,1,0,4,0
209,2,2,4,4,4
210,2,2,4,3,6
211,3,4,14,12,4
212,5,6,24,28,8
213,2,2,12,10,2
214,6,4,34,27,7
215,2,2,5,4,2
216,0,2,2,6,0
217,4,5,14,12,3
218,2,2,8,8,3
219,2,2,4,6,2
220,4,4,8,6,3
221,12,8,46,16,26
222,2,4,10,16,2
223,3,3,14,8,4
224,7,10,44,19,20
225,2,3,4,2,4
226,4,6,30,19,7
227,0,2,2,2,0
228,9,4,48,20,22
229,0,0,4,7,0
230,8,8,46,26,23
231,2,4,14,16,4
232,0,0,2,2,0
233,0,2,3,4,1
234,11,7,56,24,20
235,14,8,70,22,42
236,6,10,33,22,8
237,2,2,10,9,2
238,4,2,24,18,4
239,4,1,10,6,6
240,16,14,90,32,58
241,4,4,14,10,6
242,2,2,4,2,4
243,2,1,5,8,2
244,1,1,2,2,3
245,10,10,51,32,28
246,10,6,54,15,26
247,8,5,42,20,22
248,1,2,0,2,0
249,5,3,18,12,8
250,4,2,18,20,6
251,4,3,25,24,4
252,4,5,20,16,6
253,8,6,50,20,23
254,2,2,4,4,1
255,6,8,33,24,6
256,2,2,4,4,2
257,2,3,4,2,2
258,4,6,21,23,4
259,20,10,98,36,59
260,2,4,10,16,2
261,1,0,2,0,0
262,2,3,6,4,2
263,2,2,6,4,2
264,4,2,15,12,4
265,4,2,6,4,2
266,10,9,72,31,26
267,7,7,34,17,20
268,6,5,26,23,10
269,14,12,82,34,46
270,1,0,1,0,0
271,16,14,106,32,42
272,2,2,5,8,2
273,20,16,148,90,72
274,4,2,20,12,8
275,22,16,107,127,89
276,0,2,2,4,0
277,0,0,2,1,0
278,2,2,4,2,2
279,10,7,68,26,24
280,8,8,65,48,20
281,6,6,34,19,16
282,2,2,4,2,1
283,2,2,2,2,1
284,15,10,104,39,36
285,6,6,44,20,16
286,10,10,56,24,28
287,2,2,4,2,2
288,1,2,4,2,1
289,9,10,74,38,19
290,1,1,2,6,0
291,2,2,3,2,1
292,8,7,48,23,20
293,2,1,7,2,2
294,1,3,2,1,2
295,16,10,102,32,42
296,5,4,44,61,6
297,1,1,2,0,3
298,2,2,11,20,2
299,2,2,4,4,2
300,20,12,118,32,80
301,6,8,30,18,10
302,10,10,60,22,17
303,10,11,90,41,36
304,11,6,44,18,26
305,2,2,1,1,0
306,30,22,192,57,123
307,2,2,6,10,2
308,1,0,4,6,0
309,2,0,2,2,1
310,3,2,7,2,2
311,2,1,4,2,2
312,2,2,4,2,2
313,10,9,74,40,24
314,1,2,2,2,2
315,8,8,32,28,10
316,9,6,52,18,15
317,11,10,45,22,18
318,9,6,60,26,22
319,4,2,12,8,4
320,2,4,6,4,2
321,2,2,11,6,2
322,36,19,228,66,129
323,2,2,6,5,2
324,2,1,4,2,3
325,2,4,2,1,2
326,1,2,6,4,4
327,2,4,3,3,2
328,0,2,1,2,0
329,2,1,6,2,4
330,6,8,27,42,8
331,6,4,30,23,19
332,3,3,6,4,4
333,4,4,19,12,6
334,1,2,4,5,3
335,3,5,14,16,4
336,0,0,2,1,0
337,20,12,105,38,58
338,3,2,10,12,2
339,1,0,1,2,0
340,0,1,2,12,1
341,20,12,108,90,74
342,0,0,4,1,0
343,2,2,10,5,4
344,10,11,52,29,22
345,0,2,2,1,1
346,2,2,6,2,4
347,4,2,24,10,4
348,3,2,3,0,2
349,5,5,16,6,6
350,4,2,24,18,7
351,6,8,38,18,10
352,2,2,10,15,3
353,2,1,4,8,2
354,20,16,124,50,72
355,6,5,34,25,12
356,2,2,10,10,2
357,10,8,52,22,19
358,2,2,3,1,2
359,2,4,10,15,2
360,14,11,98,34,42
361,24,16,170,70,76
362,6,6,41,24,10
363,0,1,4,8,2
364,6,7,32,21,7
365,1,2,1,1,0
366,1,1,7,4,3
367,2,2,4,2,1
368,4,2,8,4,4
369,0,0,2,0,0
370,6,3,18,12,5
371,2,2,5,0,5
372,2,2,2,4,2
373,4,4,18,10,6
374,1,3,2,4,1
375,1,1,2,2,0
376,13,6,80,46,40
377,2,0,1,0,0
378,2,2,3,2,1
379,1,2,0,4,0
380,2,4,10,6,4
381,3,4,18,20,4
382,1,0,4,3,4
383,2,3,8,6,2
384,2,3,4,0,6
385,2,4,6,3,2
386,2,2,6,7,2
387,3,3,14,7,4
388,1,2,3,5,0
389,17,10,104,33,56
390,8,8,58,22,14
391,8,6,38,20,16
392,4,3,32,17,16
393,2,2,2,1,5
394,10,8,94,31,30
395,3,2,5,3,4
396,4,6,20,10,6
397,8,6,34,21,10
398,8,10,44,26,14
399,2,2,8,4,3
400,1,2,0,1,0
401,2,3,6,6,2
402,14,12,86,28,48
403,4,3,11,7,4
404,1,4,2,4,0
405,2,2,6,4,2
406,6,4,27,8,11
407,2,2,5,8,2
408,4,4,28,18,8
409,9,8,40,17,26
410,4,3,16,8,7
411,3,4,14,7,4
412,2,1,7,2,3
413,11,6,76,31,42
414,6,4,20,12,6
415,2,1,4,2,4
416,2,2,4,6,2
417,22,14,108,48,48
418,1,2,7,2,2
419,4,2,22,10,6
420,6,5,34,28,8
421,2,2,4,7,2
422,3,2,10,6,2
423,1,3,2,2,2
424,1,1,6,6,1
425,10,6,52,22,23
426,18,10,96,56,52
427,8,12,45,23,22
428,4,2,16,7,6
429,2,4,4,1,0
430,8,10,52,30,20
431,8,6,60,82,22
432,2,2,6,10,4
433,6,5,28,12,14
434,12,7,78,35,28
435,12,7,64,24,36
436,2,2,2,2,2
437,1,2,4,4,5
438,4,3,10,8,4
439,2,4,12,8,2
440,3,3,10,10,2
441,2,1,5,4,4
442,20,13,118,41,70
443,4,2,26,14,9
444,1,1,1,2,2
445,4,3,21,15,12
446,2,4,11,2,4
447,11,6,37,34,14
448,2,2,18,12,4
449,3,1,12,6,4
450,4,2,9,4,6
451,2,3,2,2,1
