"test_id","adult_males","subadult_males","adult_females","juveniles","pups"
0,2,2,17,12,2
1,2,2,2,2,1
2,2,1,2,2,1
3,0,1,2,0,2
4,2,2,3,2,1
5,4,3,19,7,4
6,0,1,6,0,1
7,2,2,2,1,0
8,2,3,8,6,2
9,2,2,3,2,1
10,4,6,16,10,5
11,5,5,8,3,2
12,2,4,10,8,3
13,1,1,3,2,2
14,1,0,2,0,2
15,10,6,57,24,17
16,4,3,20,12,5
17,1,2,4,2,1
18,2,2,4,6,3
19,2,3,10,8,4
20,10,12,65,24,30
21,2,2,11,6,2
22,18,10,152,92,60
23,2,2,7,2,6
24,8,4,34,19,18
25,4,4,19,11,2
26,2,2,5,2,4
27,12,9,88,34,47
28,3,3,14,10,2
29,2,2,2,2,2
30,4,1,17,12,4
31,14,6,89,28,44
32,6,6,18,8,10
33,0,0,4,2,2
34,2,2,6,6,2
35,2,2,2,2,1
36,8,8,64,28,12
37,7,10,24,13,7
38,12,14,88,28,44
39,3,3,12,8,4
40,4,6,16,14,9
41,0,0,1,1,2
42,1,0,1,1,0
43,1,2,5,2,6
44,4,2,10,4,4
45,4,3,20,20,6
46,5,6,22,17,7
47,1,2,2,2,1
48,18,12,105,34,77
49,22,12,142,50,92
50,20,12,136,106,78
51,6,6,42,22,13
52,2,2,14,4,2
53,5,6,20,14,8
54,24,16,108,67,78
55,11,7,60,18,35
56,10,6,60,36,13
57,1,0,1,0,0
58,4,8,22,14,9
59,6,6,20,9,9
60,0,0,2,2,1
61,1,2,6,4,3
62,10,6,70,35,16
63,14,13,100,34,32
64,11,10,88,78,22
65,2,2,2,1,1
66,2,4,4,6,4
67,8,7,39,14,18
68,0,1,4,1,2
69,2,2,5,6,2
70,1,0,2,0,1
71,0,0,6,2,0
72,2,2,12,13,3
73,2,0,2,2,1
74,4,2,10,8,4
75,15,10,84,28,52
76,8,8,48,28,13
77,2,4,17,11,3
78,1,0,2,0,0
79,4,4,20,11,8
80,18,10,101,32,50
81,1,0,2,1,0
82,0,2,1,0,1
83,2,2,12,0,11
84,1,1,6,2,4
85,3,2,18,22,4
86,16,10,101,30,55
87,8,6,48,22,12
88,9,8,54,22,12
89,4,2,20,10,6
90,10,7,60,24,24
91,4,3,12,13,4
92,10,7,64,26,25
93,2,1,12,2,4
94,12,7,91,36,34
95,18,10,99,29,54
96,10,8,50,24,26
97,2,2,6,4,4
98,2,4,13,8,5
99,2,2,6,7,3
100,5,5,14,8,6
101,0,2,4,1,2
102,2,2,7,5,2
103,6,4,28,14,10
104,2,4,2,2,2
105,8,5,38,34,8
106,18,16,87,32,56
107,20,10,108,33,52
108,3,3,16,7,4
109,9,7,44,26,26
110,3,4,6,3,3
111,0,2,5,1,2
112,20,13,143,34,90
113,0,2,2,2,0
114,3,2,6,2,3
115,18,10,104,44,41
116,0,1,1,1,2
117,2,2,8,4,4
118,7,6,37,12,22
119,1,2,2,2,2
120,2,4,10,8,2
121,4,4,21,22,7
122,4,6,12,4,3
123,2,4,21,24,6
124,1,3,4,2,1
125,0,0,1,2,0
126,1,2,2,2,1
127,10,9,66,62,27
128,12,9,85,36,42
129,4,2,15,14,4
130,6,4,35,20,10
131,0,0,2,0,0
132,6,6,29,12,14
133,16,7,96,44,53
134,1,2,6,6,2
135,11,10,67,21,23
136,2,1,9,8,2
137,1,0,2,3,0
138,2,2,4,4,2
139,10,6,68,26,34
140,1,2,2,2,1
141,2,4,6,4,2
142,0,1,0,2,0
143,4,4,19,12,6
144,4,2,18,13,4
145,4,5,22,14,6
146,0,2,1,2,2
147,7,6,44,12,12
148,13,8,60,16,30
149,6,4,40,18,15
150,22,14,134,58,66
151,2,1,3,3,1
152,1,0,1,0,0
153,2,2,2,2,6
154,4,2,18,7,6
155,2,2,3,2,1
156,6,8,32,14,10
157,0,0,3,2,0
158,0,2,0,0,0
159,1,2,4,6,1
160,2,3,10,8,3
161,2,0,4,4,1
162,18,13,101,34,60
163,40,22,346,82,194
164,4,3,17,12,4
165,2,2,5,1,0
166,10,7,43,16,24
167,2,2,13,8,3
168,2,2,2,2,4
169,6,6,38,19,12
170,5,7,24,10,8
171,4,2,8,4,3
172,10,6,83,63,19
173,3,2,6,6,2
174,2,2,3,2,1
175,16,9,104,36,50
176,18,12,89,34,62
177,3,2,10,18,3
178,2,2,10,10,3
179,22,12,182,80,85
180,2,2,4,4,2
181,4,2,22,22,4
182,2,2,10,9,2
183,4,4,10,6,4
184,1,2,4,2,1
185,10,8,45,18,20
186,21,13,128,34,64
187,0,1,0,0,0
188,6,4,26,20,12
189,3,2,18,16,5
190,4,4,18,6,7
191,4,4,7,4,4
192,4,4,21,18,8
193,1,2,1,1,0
194,8,7,48,28,14
195,0,0,1,2,0
196,1,1,4,2,6
197,2,2,6,2,5
198,3,4,12,7,4
199,5,9,19,10,6
200,2,4,6,8,4
201,18,7,100,71,32
202,1,2,2,2,0
203,0,0,1,7,0
204,20,11,107,35,50
205,2,1,18,14,4
206,8,8,39,20,24
207,2,1,3,7,1
208,0,0,0,6,0
209,2,2,6,4,4
210,1,2,4,2,2
211,3,4,12,12,4
212,6,6,23,30,9
213,2,4,10,9,3
214,4,4,35,36,6
215,2,2,8,4,2
216,0,2,2,4,0
217,4,4,12,10,5
218,2,2,8,9,3
219,2,2,4,6,2
220,3,3,8,4,2
221,11,6,46,20,24
222,2,2,10,14,2
223,4,4,12,4,4
224,8,10,42,14,27
225,2,2,2,1,5
226,6,7,36,18,9
227,0,0,1,1,1
228,8,3,61,24,23
229,0,0,4,2,0
230,10,8,40,20,23
231,2,2,14,5,3
232,0,0,2,0,0
233,1,1,4,4,1
234,10,6,54,23,22
235,12,7,74,28,55
236,8,10,28,15,10
237,3,2,4,11,2
238,4,4,24,12,6
239,4,2,12,6,6
240,16,11,97,34,57
241,4,4,14,7,7
242,1,2,4,6,2
243,2,2,4,5,2
244,1,0,2,2,1
245,11,8,49,40,24
246,11,7,47,22,20
247,10,4,38,14,26
248,1,2,0,0,0
249,5,5,18,11,7
250,4,2,20,24,4
